"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Cmtm7","Cmtm7",1633,1916,1467,1498,1358,1465
"Stt3b","Stt3b",6003,7228,6661,8207,6673,6627
"Tgfbr2","Tgfbr2",2519,2825,2872,4246,4240,3415
"Slc25a36","Slc25a36",586,691,733,657,812,763
"Nmnat3","Nmnat3",432,471,473,389,432,507
"Copb2","Copb2",5646,6286,6433,8124,6210,6085
"Mrps22","Mrps22",499,628,629,667,593,688
"Pik3cb","Pik3cb",4706,5416,5890,6425,5603,5869
"Faim","Faim",543,738,638,828,859,815
"Armc8","Armc8",695,712,833,1028,875,769
"Dbr1","Dbr1",246,429,345,390,320,403
"Mras","Mras",0,0,0,4,0,0
"Nck1","Nck1",556,504,514,776,743,658
"Cdc25a","Cdc25a",405,510,508,488,482,445
"Nme6","Nme6",663,746,719,598,563,557
"Map4","Map4",2259,3206,2957,3170,2952,2454
"Dhx30","Dhx30",2361,3017,2456,2250,2584,2239
"Smarcc1","Smarcc1",2411,2826,2640,3095,2528,2357
"Ngp","Ngp",2,5,7,7,29,8
"Scap","Scap",944,1208,1146,982,991,824
"Ptgs2","Ptgs2",385,791,555,652,564,661
"Kif9","Kif9",76,42,57,86,93,99
"Pth1r","Pth1r",18,25,10,27,33,21
"Lrrfip2","Lrrfip2",1352,1586,1643,1923,1813,2009
"Mlh1","Mlh1",722,869,661,694,662,551
"Trib1","Trib1",125,152,137,192,128,153
"Arpp21","Arpp21",0,0,0,0,4,0
"Pdcd6ip","Pdcd6ip",6813,8358,8164,8370,7483,6877
"Fbxl2","Fbxl2",276,349,359,305,331,324
"Myd88","Myd88",1167,1329,1090,2053,1797,1854
"Wdr48","Wdr48",1601,1884,1865,1893,1872,1777
"Gorasp1","Gorasp1",1072,1416,1039,1008,1229,1053
"Ttc21a","Ttc21a",29,27,21,47,31,42
"Csrnp1","Csrnp1",821,990,980,1529,1969,1708
"Rpsa","Rpsa",19198,23853,20758,21447,20232,21709
"Slc25a38","Slc25a38",449,464,417,325,373,438
"Nktr","Nktr",551,710,527,652,544,439
"Ss18l2","Ss18l2",185,197,185,163,183,280
"Pccb","Pccb",138,208,181,169,156,205
"Vipr1","Vipr1",168,257,166,119,115,139
"Lyzl4","Lyzl4",93,87,51,106,114,79
"Amotl2","Amotl2",4,32,4,16,4,7
"Cep63","Cep63",260,253,330,238,367,186
"Trak1","Trak1",2282,2667,2462,3018,2783,2625
"Abhd5","Abhd5",941,937,943,1326,1356,1339
"Ryk","Ryk",54,50,51,48,41,62
"Rab6b","Rab6b",90,87,85,93,121,130
"X1110059G10Rik","1110059G10Rik",118,160,176,183,134,216
"Srprb","Srprb",1136,1427,1199,1389,1325,1352
"Trf","Trf",369,514,421,599,462,454
"Topbp1","Topbp1",1042,1225,1284,1474,1223,1087
"Uba5","Uba5",913,1002,1034,1021,853,878
"Nphp3","Nphp3",47,57,90,92,121,50
"Dnajc13","Dnajc13",2862,3477,3343,4167,3711,3428
"Acpp","Acpp",11,31,20,5,27,29
"Gnai2","Gnai2",20237,24403,22080,22382,21943,21426
"Mrpl3","Mrpl3",1321,1675,1553,1596,1300,1571
"Nudt16","Nudt16",264,310,315,230,346,244
"Aste1","Aste1",103,161,156,168,147,119
"Atp2c1","Atp2c1",1537,1591,1671,1851,1613,1565
"Pik3r4","Pik3r4",2051,1811,2069,2278,2201,2133
"Manf","Manf",762,949,841,1049,865,970
"Mapkapk3","Mapkapk3",3925,4478,4087,3701,3482,3326
"Cish","Cish",63,92,48,105,94,119
"Hemk1","Hemk1",58,192,135,94,136,120
"Rbm5","Rbm5",2622,2990,2887,2672,2556,2462
"Rbm6","Rbm6",903,1320,1147,1249,1131,936
"Mon1a","Mon1a",273,441,403,407,351,395
"Mst1r","Mst1r",195,301,229,244,425,181
"Traip","Traip",275,363,337,229,287,278
"Bsn","Bsn",191,179,193,117,181,157
"Apeh","Apeh",3837,5029,4160,4605,4277,4156
"Mst1","Mst1",295,292,334,385,448,345
"Ip6k1","Ip6k1",1584,1962,1723,1359,1511,1489
"Uba7","Uba7",1032,1443,1110,1439,1455,1180
"Nckipsd","Nckipsd",881,1011,950,1319,1258,1001
"Ip6k2","Ip6k2",70,47,47,92,59,62
"Prkar2a","Prkar2a",1188,1448,1226,1491,1093,1549
"Slc25a20","Slc25a20",621,708,793,847,796,776
"Qars","Qars",3393,4211,3733,4011,3653,3543
"Nicn1","Nicn1",394,533,479,509,537,570
"Usp4","Usp4",8874,10005,9901,9561,9301,9005
"Nt5m","Nt5m",336,433,399,411,407,485
"Srek1","Srek1",624,861,661,804,872,562
"Oas1d","Oas1d",15,12,21,41,40,11
"Eml4","Eml4",1648,2251,2114,2229,1798,1779
"Flcn","Flcn",5553,6455,5742,4268,3910,3495
"Atxn2l","Atxn2l",2731,3351,3121,3055,3188,2682
"Chsy1","Chsy1",13,47,47,45,52,45
"Gpr19","Gpr19",90,133,141,79,92,90
"Fhl3","Fhl3",28,43,21,39,60,7
"Crebl2","Crebl2",122,121,160,103,198,177
"Oas3","Oas3",5150,6529,5632,6278,5463,4991
"X1700025G04Rik","1700025G04Rik",1371,1439,1546,1295,1444,1437
"Pon2","Pon2",1545,1643,1560,1993,1892,1861
"Prorsd1","Prorsd1",302,380,247,369,266,390
"Malt1","Malt1",874,1023,1010,1017,867,837
"Oas2","Oas2",381,438,411,594,394,428
"Nlrp3","Nlrp3",177,233,267,128,126,138
"Lmo2","Lmo2",11270,13545,12621,10878,10355,11060
"Exd2","Exd2",363,361,390,371,365,296
"Resf1","Resf1",670,735,741,960,1094,955
"Trib3","Trib3",3153,3441,3904,1883,2565,2274
"Abtb2","Abtb2",1732,1874,1844,1922,1926,1851
"Mier3","Mier3",174,133,215,231,196,204
"Snx33","Snx33",1866,2098,2304,1909,2029,2072
"Inppl1","Inppl1",2389,2779,2845,2856,2864,2599
"Ccdc88a","Ccdc88a",1092,1391,1327,1594,1956,1963
"Tpcn1","Tpcn1",467,462,522,579,650,503
"D430042O09Rik","D430042O09Rik",600,809,870,751,667,704
"Gpbp1","Gpbp1",828,1073,1063,1329,1117,1257
"Gab3","Gab3",101,85,71,62,64,83
"Slc8b1","Slc8b1",889,989,996,1005,1285,1354
"Bet1","Bet1",498,712,627,764,869,972
"Ilvbl","Ilvbl",2518,2853,2615,2668,2872,2927
"Gtf3c1","Gtf3c1",4529,5387,5324,5529,5046,4234
"Cntrob","Cntrob",275,394,336,259,287,366
"Troap","Troap",349,611,366,638,622,507
"Alas1","Alas1",2980,3382,3187,4747,4578,4523
"Pdxk","Pdxk",5911,7139,6591,7111,7277,6411
"Lama1","Lama1",0,1,0,0,5,1
"Srxn1","Srxn1",13734,15739,15738,14040,14214,16100
"Cdv3","Cdv3",2797,2874,2859,3175,2633,2858
"Slc10a3","Slc10a3",596,723,618,594,444,581
"Arap1","Arap1",5498,6528,5889,8120,8600,7453
"Fanca","Fanca",225,418,299,378,324,301
"Ank2","Ank2",922,996,1052,1190,999,1004
"Ppp1r9a","Ppp1r9a",1,1,0,0,1,0
"Pwp2","Pwp2",2227,2801,2149,1862,1995,1807
"X2410131K14Rik","2410131K14Rik",902,1041,1078,787,1186,975
"Prr5l","Prr5l",247,347,256,207,235,179
"Abcc10","Abcc10",187,221,267,169,167,252
"Zswim6","Zswim6",40,30,17,36,28,63
"Abcc4","Abcc4",1044,1317,1002,1364,1152,1054
"Rnft2","Rnft2",83,54,77,145,153,73
"Pkd1","Pkd1",1551,1703,1678,1244,1204,1137
"P2ry2","P2ry2",1218,1403,1390,1850,1793,1879
"Fbxw8","Fbxw8",3427,3857,3582,4025,3953,3921
"Psmf1","Psmf1",1618,1891,1603,2200,1815,1660
"Smap2","Smap2",1346,1811,1565,2078,1849,1697
"Cyb5r4","Cyb5r4",1887,2205,2051,3563,3369,3021
"Arhgef17","Arhgef17",3,7,1,5,2,0
"Acsl3","Acsl3",1065,1127,1222,1490,1278,1191
"Nfyc","Nfyc",893,1096,973,933,772,870
"Fbxo21","Fbxo21",1032,1152,1208,1250,999,1316
"Slc16a1","Slc16a1",3444,4797,4320,5850,4844,5211
"Atg12","Atg12",1878,2424,2061,3153,3563,3835
"Sgpp2","Sgpp2",13,10,19,11,5,11
"Cspg4","Cspg4",0,0,11,0,8,0
"Lrig2","Lrig2",866,893,999,892,1017,779
"Hspa13","Hspa13",519,547,525,643,741,763
"Nup93","Nup93",2684,3470,3122,4058,3382,3474
"Rasgrp2","Rasgrp2",123,155,128,245,187,206
"Ap4b1","Ap4b1",57,89,110,111,105,102
"Pebp1","Pebp1",8072,10023,8815,9544,9267,9003
"Ift57","Ift57",265,349,373,306,362,380
"Fkbp1a","Fkbp1a",16491,20026,17796,18565,17148,17845
"Fam207a","Fam207a",678,788,683,834,787,787
"Guca2b","Guca2b",14,25,13,16,2,7
"Chpf","Chpf",1372,1570,1584,1796,2073,1852
"Foxj3","Foxj3",1399,1360,1740,1789,1428,1533
"Mycbp2","Mycbp2",1619,1609,1781,1254,1293,939
"Ogfod1","Ogfod1",355,593,402,553,526,490
"Trim33","Trim33",867,951,936,898,738,886
"Nfatc1","Nfatc1",2144,2449,2270,2715,2567,2556
"Polr2f","Polr2f",2074,2468,2101,2341,2130,2250
"Gmppa","Gmppa",2606,3456,2954,3482,3302,3327
"Cip2a","Cip2a",144,183,138,204,199,185
"Afap1l1","Afap1l1",123,99,132,49,38,35
"Calhm2","Calhm2",1085,1173,1263,976,982,904
"Micall1","Micall1",635,701,683,581,689,495
"Eif3l","Eif3l",5402,6274,5586,6297,5162,5302
"Npat","Npat",472,795,667,872,746,888
"Ankrd54","Ankrd54",734,957,810,828,803,844
"Pygb","Pygb",3057,3875,3723,3691,3103,2849
"Lmo7","Lmo7",0,2,0,0,2,1
"Pfkm","Pfkm",2141,2788,2675,2096,2323,2067
"Gas7","Gas7",557,632,576,836,575,580
"Entpd6","Entpd6",1059,1506,1219,1408,1421,1270
"Senp1","Senp1",820,820,930,803,825,688
"Tbc1d4","Tbc1d4",555,611,632,679,515,594
"Triobp","Triobp",959,1324,1071,1058,1191,997
"Apmap","Apmap",1137,1272,1330,1296,1246,1223
"Nol12","Nol12",436,655,504,576,632,640
"Cdc14b","Cdc14b",665,686,695,1017,1132,1083
"Lss","Lss",1136,1375,1393,1447,1202,1334
"Slc7a6os","Slc7a6os",736,849,712,830,618,624
"X3830406C13Rik","3830406C13Rik",186,250,244,346,321,269
"Slc35d2","Slc35d2",330,237,310,408,355,401
"Hsd17b3","Hsd17b3",0,3,0,0,0,0
"Atg9a","Atg9a",1380,1595,1620,1486,1507,1461
"Ybey","Ybey",106,125,144,132,108,140
"Gga1","Gga1",2821,3648,3367,3553,3600,3463
"Slc22a15","Slc22a15",66,123,101,124,93,125
"Podxl2","Podxl2",67,120,89,48,44,101
"Abhd10","Abhd10",212,273,206,239,175,209
"Cnppd1","Cnppd1",2512,2698,2848,2022,2110,2092
"Atp1a1","Atp1a1",20348,22564,21321,21184,21007,19246
"Dis3","Dis3",503,712,600,779,695,538
"Mgll","Mgll",10,2,7,25,66,40
"Tmed7","Tmed7",2315,2736,2393,3338,2204,4416
"Mzt1","Mzt1",233,443,413,411,396,544
"Lpcat2","Lpcat2",628,626,625,342,385,344
"Mamdc2","Mamdc2",68,57,110,10,6,5
"Ttc28","Ttc28",69,117,102,114,85,57
"AA467197","AA467197",10,9,5,9,25,20
"Eefsec","Eefsec",981,1267,1230,1314,1139,1098
"Rac2","Rac2",12656,14475,13550,15925,15374,15080
"Ttf2","Ttf2",1763,2352,2188,2590,1795,1977
"Wnt6","Wnt6",61,89,81,99,74,103
"Scaf11","Scaf11",2932,3326,3232,3625,3614,3448
"Trim45","Trim45",242,324,301,160,210,167
"Arid2","Arid2",1607,1815,1975,1986,1762,1895
"Hsf4","Hsf4",116,106,66,137,122,107
"Szt2","Szt2",298,343,305,307,356,329
"Shf","Shf",83,105,78,45,70,54
"Ttll4","Ttll4",1009,1116,1078,1084,971,842
"Slc35a4","Slc35a4",4395,5602,4785,5624,5107,4559
"Stk36","Stk36",258,252,229,360,335,221
"Ptprm","Ptprm",0,0,0,0,0,7
"Rpgrip1l","Rpgrip1l",110,101,105,116,42,86
"Wdr3","Wdr3",2601,3041,3056,2649,2613,2278
"Kctd17","Kctd17",207,247,279,205,250,219
"Noc4l","Noc4l",1776,2019,1948,2015,1748,1711
"Lpp","Lpp",1345,1405,1465,2081,2027,1826
"Mif","Mif",17866,22776,19079,19938,20188,19915
"Fbxl8","Fbxl8",261,351,331,373,368,316
"Gstt2","Gstt2",77,150,88,71,111,105
"Fem1c","Fem1c",569,588,588,910,736,828
"Ctdp1","Ctdp1",1123,1545,1251,1381,1189,1456
"Kdm4a","Kdm4a",1145,1359,1259,1283,1099,957
"Tnxb","Tnxb",1179,1026,1160,904,1038,908
"Dnm2","Dnm2",8863,10971,9753,11998,12665,11519
"Chst2","Chst2",0,0,0,0,0,0
"Map2k4","Map2k4",1400,1385,1524,2135,1698,1600
"Rtp4","Rtp4",139,226,172,154,207,136
"Pus7l","Pus7l",190,312,163,230,128,197
"Usp37","Usp37",548,508,592,780,615,693
"Ipo13","Ipo13",2973,4744,4258,3462,3765,4059
"Fntb","Fntb",445,546,522,508,524,467
"Atp6v0b","Atp6v0b",11951,13473,12054,12285,12555,13210
"Trappc8","Trappc8",1753,2186,2122,2623,2100,2224
"Frrs1","Frrs1",5991,6128,6245,5529,5302,5127
"Arhgap44","Arhgap44",3286,3722,3465,4101,4353,4104
"Clasp2","Clasp2",1293,1468,1365,1383,1213,1273
"Spg11","Spg11",3334,4003,3650,4127,3763,3162
"Agl","Agl",2701,3309,3222,2639,2190,2220
"Nudt15","Nudt15",21,54,40,45,16,10
"Ctdspl2","Ctdspl2",410,581,476,478,429,589
"Gucd1","Gucd1",569,687,530,670,793,831
"Cacul1","Cacul1",2354,2934,2761,2975,2370,2683
"Antxr1","Antxr1",508,549,545,602,572,416
"Eri3","Eri3",2082,2433,2365,2051,2118,1923
"Mcee","Mcee",793,1024,903,1107,1045,1206
"Terf2ip","Terf2ip",619,690,661,612,650,668
"Gtpbp6","Gtpbp6",161,139,197,186,215,180
"Trmt13","Trmt13",78,38,55,37,34,78
"Specc1l","Specc1l",1256,1593,1449,1463,1068,955
"Lpar6","Lpar6",274,386,441,276,223,195
"Tagap","Tagap",428,571,424,517,408,435
"Adamts15","Adamts15",0,0,0,0,16,0
"Zbtb1","Zbtb1",324,279,507,280,319,270
"Fan1","Fan1",56,62,106,73,52,40
"Crlf2","Crlf2",523,582,560,683,772,618
"Fam160b1","Fam160b1",864,1013,1020,1377,947,949
"Catsper2","Catsper2",12,26,27,13,19,70
"Fndc3a","Fndc3a",2916,3607,3474,6046,6517,6294
"Larp4b","Larp4b",2244,2793,2853,3254,3025,2876
"Cdc14a","Cdc14a",100,234,177,187,199,177
"Ppip5k1","Ppip5k1",906,978,1028,1212,1170,1173
"Ttc7b","Ttc7b",748,876,706,710,434,1139
"Casp4","Casp4",230,275,290,968,1028,1052
"Idua","Idua",1336,1483,1695,2139,2226,2412
"Gtf2a2","Gtf2a2",443,549,513,504,552,489
"Znrf1","Znrf1",2027,2304,2322,2031,2249,2339
"Dph5","Dph5",672,796,821,740,659,691
"Fam20b","Fam20b",1720,2022,1910,2592,2111,2138
"Rbfox2","Rbfox2",186,179,184,224,207,181
"Adgrb3","Adgrb3",5,2,0,0,0,1
"Apol6","Apol6",0,0,0,0,0,0
"Myo6","Myo6",30,23,37,22,35,25
"Igf2bp2","Igf2bp2",2383,2805,2555,6604,6279,5914
"Reep4","Reep4",1401,1862,1716,1794,1677,1696
"Myo5c","Myo5c",8,1,22,5,0,10
"Spata2l","Spata2l",179,228,190,222,223,138
"Rfwd3","Rfwd3",2915,3133,2957,3466,2685,2425
"Caskin1","Caskin1",1,1,0,8,4,0
"Pank1","Pank1",261,293,287,186,112,304
"Map3k13","Map3k13",9,35,59,22,45,80
"Pcgf3","Pcgf3",419,543,509,736,607,724
"Pdpr","Pdpr",777,890,838,1130,793,609
"Pik3c3","Pik3c3",1755,1995,1801,2082,1678,1421
"Hacd3","Hacd3",1903,2204,2143,2329,2031,2138
"AW554918","AW554918",131,121,122,90,97,105
"Piwil2","Piwil2",47,37,95,57,66,94
"Vps8","Vps8",3491,3948,3997,3504,3370,3070
"Ddx19b","Ddx19b",507,632,780,599,556,672
"Zfp7","Zfp7",67,105,63,138,61,81
"Cep350","Cep350",1485,1431,1573,1839,1626,1230
"Qsox1","Qsox1",2,0,0,0,0,0
"Ucp2","Ucp2",13936,18797,15178,16483,15563,13674
"Arhgap39","Arhgap39",895,1062,1065,1040,1158,857
"Acbd6","Acbd6",1323,1703,1558,1520,1525,1553
"Fuk","Fuk",880,1029,1162,954,1128,920
"Stard9","Stard9",1442,1578,1419,1227,1127,678
"Smyd5","Smyd5",1658,2107,1867,1613,1527,1378
"Ccar2","Ccar2",2305,2548,2308,2126,2075,2034
"Foxn3","Foxn3",1215,1274,1357,1290,1351,1486
"Sfxn5","Sfxn5",47,71,28,79,139,87
"Vav3","Vav3",2090,2476,2576,2717,2026,2611
"Lrrc14","Lrrc14",1076,1225,1257,1124,1078,1146
"Egr3","Egr3",39,46,46,18,18,1
"Sf3b3","Sf3b3",7871,9284,8778,7907,7266,5232
"Spr","Spr",739,864,839,840,900,804
"Fkbpl","Fkbpl",361,383,407,508,407,406
"St18","St18",190,201,171,221,161,177
"Gadd45gip1","Gadd45gip1",272,521,326,343,354,347
"Mnd1","Mnd1",59,88,58,55,45,71
"Rbm4b","Rbm4b",104,169,145,89,122,130
"Recql4","Recql4",322,307,308,299,249,271
"Tmem131l","Tmem131l",1153,1310,1366,1268,1188,1091
"Exoc6b","Exoc6b",2273,2327,2613,3015,2637,2305
"Rpap2","Rpap2",338,337,350,458,401,428
"Tlr13","Tlr13",6455,6655,6785,8669,5717,5422
"Asb13","Asb13",60,59,28,94,70,34
"Dysf","Dysf",1,0,6,0,1,0
"Tubgcp5","Tubgcp5",357,417,499,496,487,442
"Atp7a","Atp7a",4723,5806,5486,12068,10764,10853
"Atp6v1h","Atp6v1h",9539,10474,10441,15723,14217,14330
"Fam208b","Fam208b",211,272,201,240,264,270
"Tmem87a","Tmem87a",36,65,78,53,59,83
"Alg3","Alg3",1243,1317,1164,1356,1449,1205
"Tcea1","Tcea1",670,801,802,859,841,1003
"Ppp1r16a","Ppp1r16a",1295,1386,1343,1463,1492,1446
"Dnah8","Dnah8",0,1,0,0,0,0
"Foxh1","Foxh1",0,0,0,0,0,0
"Mrpl15","Mrpl15",2204,2438,2272,2573,2539,2513
"Kcnk10","Kcnk10",0,14,0,0,0,4
"Engase","Engase",489,609,552,630,647,654
"Cdk10","Cdk10",436,516,417,534,481,495
"Klf9","Klf9",527,714,603,640,651,810
"Ppargc1b","Ppargc1b",644,714,580,1020,814,740
"Lgals3bp","Lgals3bp",905,1510,1168,2336,2087,2017
"D3Ertd254e","D3Ertd254e",115,132,148,100,201,166
"Pxk","Pxk",729,694,814,1049,709,841
"Mapkbp1","Mapkbp1",723,962,947,955,1042,932
"Ccp110","Ccp110",129,170,153,91,145,149
"Usp36","Usp36",777,780,1005,843,812,777
"Chmp2a","Chmp2a",2892,3402,3009,4343,4018,3841
"Gde1","Gde1",3672,4377,3840,5484,5606,5610
"Parl","Parl",1831,2344,1946,2208,1977,1824
"Rbm34","Rbm34",455,667,618,623,549,609
"Vhl","Vhl",630,765,673,591,636,694
"Ndufb7","Ndufb7",2119,2599,2395,2917,2744,2764
"Brk1","Brk1",1827,2058,1792,2041,2012,2032
"Mga","Mga",0,0,0,0,1,0
"Trim36","Trim36",90,68,66,114,64,59
"Aspm","Aspm",332,447,422,718,619,483
"Ppp3r1","Ppp3r1",1145,1452,1217,2253,1987,2431
"Tnks1bp1","Tnks1bp1",458,623,503,531,483,465
"Jcad","Jcad",62,114,48,90,120,109
"Zfp446","Zfp446",470,601,445,507,444,408
"Zbtb41","Zbtb41",161,295,170,278,251,326
"Cdkl4","Cdkl4",19,22,22,16,18,38
"Rfc3","Rfc3",584,576,582,604,485,507
"Zfp944","Zfp944",169,234,173,133,166,153
"Coil","Coil",239,340,267,406,346,293
"Tesk2","Tesk2",122,108,71,129,164,144
"Dnah17","Dnah17",4,7,12,10,6,14
"Ttc37","Ttc37",1703,1962,1793,2596,2287,1986
"Pqlc1","Pqlc1",877,1048,943,776,744,813
"Scaper","Scaper",206,279,218,283,328,222
"Pds5b","Pds5b",854,935,831,1040,800,678
"Cpsf1","Cpsf1",5805,7146,6440,6093,6001,6150
"Fancd2","Fancd2",292,508,319,523,416,360
"Cct2","Cct2",4209,5264,4414,5472,4585,4960
"Rpap1","Rpap1",2058,2612,2533,2888,2345,2316
"Ccdc17","Ccdc17",104,75,93,168,85,119
"Lyl1","Lyl1",296,379,218,190,202,186
"Gpbp1l1","Gpbp1l1",421,574,465,521,607,534
"Phka1","Phka1",615,891,791,776,712,508
"Ypel4","Ypel4",23,9,38,13,12,13
"Poglut1","Poglut1",1059,1322,1281,1408,1136,1321
"Farp2","Farp2",61,93,97,80,68,59
"Zfp551","Zfp551",18,4,13,32,10,42
"Zdhhc5","Zdhhc5",2936,3438,3255,3155,2676,2543
"Ccdc174","Ccdc174",163,144,145,142,161,165
"Hdlbp","Hdlbp",9371,11205,10251,12911,9862,9176
"Ctnnd1","Ctnnd1",248,292,316,306,290,249
"Tldc1","Tldc1",1054,1374,1156,1708,1530,1527
"Ccs","Ccs",1915,2436,2130,2571,2462,2531
"Golim4","Golim4",312,443,383,346,441,329
"Kctd7","Kctd7",124,86,104,99,155,130
"Tmed8","Tmed8",465,423,602,906,662,756
"Atp2c2","Atp2c2",71,85,68,88,76,82
"Vav1","Vav1",8413,10793,10351,15223,14741,14799
"Tpst1","Tpst1",528,893,563,564,637,629
"Srsf2","Srsf2",881,1430,1061,1246,811,1168
"Mks1","Mks1",311,410,294,412,332,342
"Pomt2","Pomt2",583,944,743,659,524,551
"Tspan8","Tspan8",112,149,97,92,120,80
"Sik3","Sik3",1674,1996,1595,1896,1458,2083
"Exoc3","Exoc3",2928,3354,3131,3844,3214,3200
"Ino80","Ino80",260,381,258,238,205,185
"Tspoap1","Tspoap1",9,40,29,63,96,79
"Cipc","Cipc",1768,2156,2668,3585,3536,3487
"Lrrc58","Lrrc58",1385,1770,1908,1731,1769,1784
"Ogt","Ogt",2305,2576,2540,3059,2340,2444
"Zfc3h1","Zfc3h1",496,440,463,578,538,388
"Ccnd3","Ccnd3",4827,7075,5869,5982,5568,5880
"Irf2bpl","Irf2bpl",2425,2900,2643,5120,5549,4715
"Faah","Faah",1665,1785,1725,1435,1494,1329
"Zbed5","Zbed5",36,42,95,45,55,45
"Rhbdd3","Rhbdd3",460,526,586,414,451,448
"Rnf43","Rnf43",343,445,315,388,353,362
"Nsf","Nsf",3858,4486,4580,7340,6307,5910
"Hsdl1","Hsdl1",2927,3381,3502,3447,3044,3070
"Chmp7","Chmp7",5143,5699,5426,5724,5726,5579
"Lsm3","Lsm3",292,365,311,376,372,349
"R3hcc1","R3hcc1",606,626,533,444,385,490
"Gas2l1","Gas2l1",1678,2112,1786,1856,1903,1625
"Chchd4","Chchd4",1671,2084,1978,1906,1689,1685
"Loxl2","Loxl2",3,11,1,0,0,0
"Polq","Polq",145,44,112,84,102,77
"Efcab14","Efcab14",1246,1549,1259,1765,1654,1735
"Mrps17","Mrps17",1357,1545,1310,1495,1294,1381
"Vps18","Vps18",11636,14154,13216,14831,13853,12542
"Atm","Atm",603,674,515,748,562,510
"Gpc1","Gpc1",5,2,3,55,52,70
"Rhov","Rhov",1351,1594,1637,2167,2411,2345
"Usp54","Usp54",247,214,315,283,381,204
"Golgb1","Golgb1",1381,1502,1739,1485,1203,1086
"Plekhm1","Plekhm1",6650,7806,7239,9616,8932,8282
"Slc25a37","Slc25a37",182,204,198,189,164,252
"Senp6","Senp6",313,513,415,396,408,349
"Agpat1","Agpat1",1533,1722,1967,1978,1869,1809
"Arhgap27","Arhgap27",837,968,848,843,870,747
"Exosc4","Exosc4",1190,1336,1234,1438,1446,1291
"Ints14","Ints14",1293,1555,1382,1725,1489,1429
"Zdhhc14","Zdhhc14",957,993,942,1108,1036,1375
"Batf","Batf",10,31,34,20,38,25
"Setd5","Setd5",1669,1798,1669,1583,1912,1586
"Jdp2","Jdp2",85,142,138,97,36,144
"Thoc5","Thoc5",1192,1411,1162,1278,1175,1088
"Igsf9b","Igsf9b",634,460,641,625,469,398
"Dnajc17","Dnajc17",166,261,198,254,233,235
"Nipsnap1","Nipsnap1",675,836,632,987,985,854
"Nek9","Nek9",2947,3683,3462,3889,3529,3373
"Traf3ip1","Traf3ip1",207,212,243,201,168,189
"Med13","Med13",187,190,216,221,324,404
"Fam53c","Fam53c",2243,2505,2368,2144,2209,1910
"Ccdc15","Ccdc15",55,36,54,51,66,53
"Sdr42e1","Sdr42e1",45,24,28,52,71,85
"Kif4","Kif4",437,584,444,758,436,488
"Iqsec1","Iqsec1",497,585,462,645,499,566
"Trim59","Trim59",109,173,125,213,111,142
"Slc26a2","Slc26a2",322,475,362,407,432,417
"Exosc1","Exosc1",945,1057,1021,1058,1113,995
"Kctd9","Kctd9",187,273,191,247,161,223
"Brip1","Brip1",169,233,96,214,161,131
"Plcg2","Plcg2",14232,17344,16257,14195,14384,12362
"Zbed4","Zbed4",98,90,97,87,92,74
"Fam151b","Fam151b",59,90,35,141,68,58
"Ina","Ina",93,87,101,80,39,18
"Wbp2","Wbp2",8059,9905,9269,9849,9434,9429
"Cbl","Cbl",1072,1069,1229,1258,1199,769
"Ube2f","Ube2f",1586,1812,1478,2519,2255,2194
"Gtf2h5","Gtf2h5",737,733,748,917,873,1036
"Smc4","Smc4",518,676,510,720,605,712
"Mtmr3","Mtmr3",5152,6330,5672,6318,6394,5943
"Cpne2","Cpne2",237,238,342,454,341,376
"Tkfc","Tkfc",378,434,407,476,466,349
"Tulp4","Tulp4",1619,1928,1700,2406,2158,2187
"Wdr5b","Wdr5b",59,22,48,65,60,45
"Cmip","Cmip",1850,2280,1944,2074,978,2789
"Fbxo15","Fbxo15",16,5,0,3,4,9
"Spata6","Spata6",574,683,656,704,668,573
"Pja1","Pja1",1286,1723,1446,1462,1340,1231
"Tbc1d10a","Tbc1d10a",1360,1911,1633,1686,2114,2071
"Neurl1b","Neurl1b",12,1,2,20,6,8
"Pkd1l2","Pkd1l2",136,211,261,203,197,179
"Parp14","Parp14",521,521,577,717,688,700
"Gcsh","Gcsh",1074,1376,1082,1321,1038,1119
"Myo15b","Myo15b",0,0,0,0,0,0
"Zfp707","Zfp707",270,378,293,288,329,311
"Zxdc","Zxdc",1406,1689,1740,1496,1425,1271
"Cops8","Cops8",2320,2387,2655,2669,2592,2607
"Gm9761","Gm9761",27,15,21,16,6,7
"Trmt5","Trmt5",282,414,284,515,380,444
"Cyb561a3","Cyb561a3",1569,1606,1639,1884,2155,1812
"Dhrs11","Dhrs11",661,646,690,701,716,787
"Polr3b","Polr3b",634,717,712,626,342,428
"Ifit1","Ifit1",15,20,17,48,37,66
"Six4","Six4",0,0,0,0,0,0
"Pkd2","Pkd2",369,399,555,549,594,557
"Scara3","Scara3",747,811,806,996,1113,1020
"Caskin2","Caskin2",409,487,519,564,605,563
"Rasd2","Rasd2",4644,6006,5487,3972,4474,3943
"Sec22a","Sec22a",622,815,716,791,824,776
"Diaph2","Diaph2",330,341,407,437,473,464
"Snx2","Snx2",4103,5386,4760,7020,6501,6503
"Uaca","Uaca",599,881,874,960,777,781
"Kdelc2","Kdelc2",319,410,313,387,295,259
"Edil3","Edil3",266,288,370,234,258,194
"Pcnx4","Pcnx4",577,658,648,744,686,809
