"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"H2.T.ps","H2-T-ps",11,11,9,63,31,41
"H2.D1","H2-D1",125640,149863,137800,195159,149821,166614
"Lst1","Lst1",582,657,575,1362,908,1019
"C4b","C4b",4015,4458,4268,463,231,365
"Zfp414","Zfp414",493,614,497,811,567,530
"Gm4924","Gm4924",70,60,62,76,63,42
"Arhgdig","Arhgdig",186,245,214,127,96,104
"Wdr90","Wdr90",722,839,770,1202,741,907
"Eme2","Eme2",130,140,147,175,165,158
"Gm10509","Gm10509",42,28,35,59,10,23
"Smok2b","Smok2b",0,1,0,0,0,0
"Pnldc1","Pnldc1",0,0,0,1,0,0
"Sft2d1","Sft2d1",1257,1692,1339,1508,959,1175
"Rsph3a","Rsph3a",247,256,211,367,223,291
"D730003I15Rik","D730003I15Rik",53,68,50,143,96,108
"X44987","44987",1482,1822,1663,1939,1214,1499
"Ifi204","Ifi204",552,684,540,1414,962,1247
"Ifi207","Ifi207",2521,2992,2928,3713,2490,2577
"F830208F22Rik","F830208F22Rik",4,9,15,361,181,208
"Gm5532","Gm5532",0,0,0,1,11,11
"E330020D12Rik","E330020D12Rik",423,592,539,1845,1190,1417
"Cep76","Cep76",238,333,252,589,374,415
"Ppp1r12b","Ppp1r12b",1764,1651,1949,7291,4466,5193
"Csnk1g3","Csnk1g3",478,648,586,1098,613,593
"X1700066B19Rik","1700066B19Rik",4,2,14,15,29,24
"Prob1","Prob1",4,35,21,34,15,18
"Gal3st2c","Gal3st2c",0,1,0,3,0,3
"D2hgdh","D2hgdh",584,736,747,657,479,672
"Cops9","Cops9",2384,2599,2102,4284,2985,3392
"C130036L24Rik","C130036L24Rik",54,28,42,114,74,66
"Fbxo36","Fbxo36",385,417,465,210,108,151
"Rab18","Rab18",1467,2049,1861,3393,1724,2226
"Wdfy1","Wdfy1",2088,2359,2303,3247,1962,2016
"Gm10557","Gm10557",46,44,69,83,24,45
"Catip","Catip",25,9,16,43,14,21
"Nbeal1","Nbeal1",200,220,418,246,135,180
"Hspe1","Hspe1",2477,2898,2614,6485,4055,5276
"Pgap1","Pgap1",362,636,519,830,330,550
"Faap20","Faap20",959,995,929,1294,860,1009
"Klhl21","Klhl21",1911,2607,2297,2358,1545,1663
"Rpl31","Rpl31",4351,4936,4365,6648,4655,5134
"Cenps","Cenps",83,29,51,162,143,150
"Lmbrd1","Lmbrd1",2896,3142,3352,3231,2044,2251
"Tmem51os1","Tmem51os1",1,10,2,11,1,0
"Rsg1","Rsg1",16,42,25,77,68,69
"Gm16287","Gm16287",5,0,5,18,20,27
"X5730409E04Rik","5730409E04Rik",33,26,28,95,44,60
"Btbd19","Btbd19",116,166,103,268,128,208
"Kti12","Kti12",716,791,773,1401,978,1137
"Efcab7","Efcab7",170,155,127,244,141,215
"Alg6","Alg6",379,439,403,1144,798,908
"Tufm","Tufm",3165,4060,3531,5773,4267,5147
"Iqck","Iqck",50,41,44,33,18,29
"Mob3b","Mob3b",45,47,46,166,102,128
"Trim68","Trim68",183,198,226,257,110,203
"Olfr554","Olfr554",0,0,0,0,0,0
"Gm9574","Gm9574",1,2,3,32,20,35
"Rhog","Rhog",3547,4173,3970,7584,5479,6502
"Ggh","Ggh",306,321,282,1613,962,1226
"X4632427E13Rik","4632427E13Rik",43,43,22,71,21,18
"Exoc8","Exoc8",1439,1520,1560,1773,1062,1138
"Mc1r","Mc1r",24,22,31,13,0,0
"X4930520O04Rik","4930520O04Rik",23,21,8,75,44,35
"Osgin1","Osgin1",614,752,773,784,664,642
"Mlycd","Mlycd",1515,1707,1543,1058,655,686
"Snrnp40","Snrnp40",1122,1465,1151,2491,1734,1933
"Svip","Svip",8,25,29,70,41,32
"Rbm15b","Rbm15b",643,661,634,837,392,327
"Rpl10.ps2","Rpl10-ps2",0,0,0,0,0,1
"Ntf5","Ntf5",50,38,42,42,2,9
"Rpl13a","Rpl13a",388,477,435,664,433,518
"X4930513N10Rik","4930513N10Rik",23,26,7,19,22,7
"Nlrc5","Nlrc5",1465,1600,1718,3263,2542,2365
"Zfp788","Zfp788",92,111,69,69,44,82
"AW146154","AW146154",25,45,64,73,54,49
"Plekhf1","Plekhf1",722,823,756,285,202,232
"Znhit6","Znhit6",542,563,573,910,589,634
"Zfp791","Zfp791",92,78,68,71,30,36
"G430095P16Rik","G430095P16Rik",11,24,13,46,34,23
"Sdhaf1","Sdhaf1",81,106,70,197,129,147
"Dnajb14","Dnajb14",816,1094,985,739,343,408
"Cox7a1","Cox7a1",63,73,76,61,54,82
"Zfp382","Zfp382",165,143,154,232,131,139
"Zfp568","Zfp568",303,253,269,459,249,191
"Ap1ar","Ap1ar",689,909,798,1929,1002,1140
"Dda1","Dda1",3064,3599,3108,5008,3797,4547
"Ceacam1","Ceacam1",393,442,330,92,59,58
"Gm6166","Gm6166",45,56,32,40,16,34
"Gm12522","Gm12522",14,31,10,84,65,39
"Zfp94","Zfp94",168,152,142,164,115,124
"Zfp109","Zfp109",33,27,68,83,25,41
"Peak1","Peak1",1680,1642,1886,1876,1221,1316
"Apoc4","Apoc4",40,40,25,3,1,5
"I830077J02Rik","I830077J02Rik",411,408,411,612,298,375
"Tmigd3","Tmigd3",105,119,50,180,151,149
"Ccdc61","Ccdc61",404,516,465,675,418,446
"C5ar2","C5ar2",11,21,22,56,22,39
"Gm5544","Gm5544",15,0,1,68,36,34
"Gm15441","Gm15441",13,10,22,25,7,4
"Zfp865","Zfp865",159,152,144,166,114,124
"Zfp628","Zfp628",128,96,142,131,120,90
"X3110039I08Rik","3110039I08Rik",2,5,1,0,0,0
"Gm14548","Gm14548",10,23,12,39,47,33
"Gm15417","Gm15417",51,57,90,126,99,106
"Spc24","Spc24",182,242,150,692,481,636
"Mex3a","Mex3a",16,5,5,33,15,19
"A430078G23Rik","A430078G23Rik",13,5,6,57,13,38
"Zfp558","Zfp558",8,25,13,27,15,15
"Fat3","Fat3",76,43,72,62,35,61
"Gm10705","Gm10705",23,16,18,24,23,26
"Arfip1","Arfip1",74,143,98,195,99,111
"Gm10709","Gm10709",17,25,30,30,23,30
"Gcnt7","Gcnt7",15,32,10,11,23,9
"Cass4","Cass4",66,158,73,177,151,150
"Mocs3","Mocs3",384,480,555,655,401,341
"Zfas1","Zfas1",352,346,277,447,255,315
"Lekr1","Lekr1",52,20,25,72,29,62
"X4931440P22Rik","4931440P22Rik",17,64,12,85,35,48
"Arfgef2","Arfgef2",3831,4419,4456,6278,4049,4549
"Mgst2","Mgst2",684,808,722,1723,1202,1297
"Tox2","Tox2",293,374,421,123,68,120
"Mafb","Mafb",7318,9629,8657,2735,1729,2046
"Mroh8","Mroh8",0,0,0,0,0,0
"X4930518I15Rik","4930518I15Rik",16,24,16,32,10,3
"Cpne1","Cpne1",0,0,2,4,0,0
"X6430550D23Rik","6430550D23Rik",14,11,16,31,13,7
"BC029722","BC029722",547,645,507,979,837,869
"Mcidas","Mcidas",0,0,0,7,2,3
"Myh7b","Myh7b",7,37,28,6,1,1
"Lrrc31","Lrrc31",0,0,0,1,0,0
"Eif2s2","Eif2s2",2125,2708,2515,4869,2831,3608
"Sirpb1c","Sirpb1c",144,229,156,505,370,400
"Defb25","Defb25",14,40,37,54,43,22
"Zcchc3","Zcchc3",167,236,204,208,146,134
"Csnk2a1","Csnk2a1",1020,1347,1151,2557,1155,1251
"Zfp950","Zfp950",82,100,95,168,113,184
"Fndc10","Fndc10",188,247,182,301,141,182
"Thbd","Thbd",326,382,341,373,132,248
"Pdzd8","Pdzd8",847,1050,949,1558,783,1023
"Atxn7l3b","Atxn7l3b",449,536,589,691,444,478
"Kiz","Kiz",304,402,298,305,200,233
"Smim26","Smim26",111,144,127,293,209,243
"Gm5535","Gm5535",0,3,2,26,15,9
"Ube2n","Ube2n",1461,1896,1656,3404,2103,2510
"AU019990","AU019990",8,5,4,11,7,11
"Plxnc1","Plxnc1",3799,4584,4197,2688,1243,1054
"Arrdc3","Arrdc3",97,142,113,57,60,36
"Slc4a11","Slc4a11",1,9,14,0,22,12
"Itpa","Itpa",571,878,532,2139,1561,1887
"Gm4149","Gm4149",60,65,44,58,38,39
"Gas2l3","Gas2l3",1345,1571,1323,2109,1007,1164
"Gm10762","Gm10762",23,26,20,35,33,25
"Hps6","Hps6",1387,1599,1633,1388,1006,1335
"Gm14005","Gm14005",291,305,296,800,565,616
"Itpripl1","Itpripl1",266,397,264,339,238,250
"X2010315B03Rik","2010315B03Rik",127,178,144,159,78,203
"Platr25","Platr25",101,128,94,131,84,166
"Zfp934","Zfp934",42,49,81,114,82,102
"Zfp808","Zfp808",52,51,29,112,37,83
"Spata5l1","Spata5l1",336,370,252,523,322,359
"Serf2","Serf2",2084,2426,1954,2914,2063,2435
"Grk6","Grk6",1116,1495,1214,2566,1715,1530
"Lcmt2","Lcmt2",1825,2078,1888,1750,1323,1388
"Ifit3","Ifit3",56,61,60,1825,1819,1765
"Sptbn5","Sptbn5",4,3,4,1,0,0
"Ranbp6","Ranbp6",134,141,111,169,85,99
"Chst14","Chst14",356,353,365,507,408,438
"Inafm2","Inafm2",327,316,398,674,347,410
"Fam122a","Fam122a",498,605,482,589,352,407
"Pak6","Pak6",0,1,1,0,0,0
"Ptar1","Ptar1",124,115,132,353,147,162
"Ano3","Ano3",0,1,0,0,0,0
"Gm11382","Gm11382",37,51,66,51,25,24
"Qser1","Qser1",295,477,341,473,279,271
"Nrbf2","Nrbf2",563,629,694,826,533,531
"Fjx1","Fjx1",49,34,48,146,65,86
"Gm10800","Gm10800",22,21,29,267,296,321
"Gm10801","Gm10801",0,1,1,20,17,17
"Prdm11","Prdm11",4,3,3,0,0,0
"Nxpe3","Nxpe3",190,300,303,806,439,489
"Zfp408","Zfp408",622,708,767,1070,724,627
"Duxf3","Duxf3",0,1,0,0,0,0
"Vdac3.ps1","Vdac3-ps1",38,41,41,125,51,81
"Yae1d1","Yae1d1",115,132,170,213,112,154
"Olfr1271","Olfr1271",0,0,1,0,0,0
"Cd80","Cd80",132,127,177,772,419,501
"Ccdc162","Ccdc162",10,21,10,8,5,25
"Znhit2","Znhit2",743,977,905,993,799,893
"Ccdc58","Ccdc58",176,254,172,601,412,468
"Amd1","Amd1",1076,1263,1066,2273,1437,1439
"Fsip2","Fsip2",0,0,0,0,0,0
"Heg1","Heg1",0,0,0,0,3,0
"Cerkl","Cerkl",0,0,0,0,0,0
"Cenpw","Cenpw",341,445,374,1284,823,1081
"Gm10819","Gm10819",22,34,26,19,12,40
"Pde11a","Pde11a",532,618,539,493,394,369
"Ttc30a1","Ttc30a1",119,103,97,138,106,141
"Ttc30b","Ttc30b",89,95,88,104,55,47
"Mrpl23.ps1","Mrpl23-ps1",19,16,13,20,22,36
"Wipf1","Wipf1",1285,1611,1544,1776,993,1258
"Carns1","Carns1",49,68,44,38,65,76
"Klhl41","Klhl41",7,0,0,0,4,0
"Scn9a","Scn9a",0,2,0,0,0,0
"Scn2a","Scn2a",1,0,0,1,0,0
"Fign","Fign",0,1,0,0,0,0
"Zbtb2","Zbtb2",320,279,354,351,228,231
"Rc3h2","Rc3h2",776,966,868,1515,608,878
"Fnbp1","Fnbp1",3948,4347,4465,4898,3079,3466
"Dolk","Dolk",1535,1892,1789,2107,1630,1753
"Dnlz","Dnlz",759,765,669,1149,768,967
"Alg10b","Alg10b",136,172,167,289,152,193
"Commd6","Commd6",786,841,810,862,656,745
"Malrd1","Malrd1",0,0,0,0,0,0
"Aarsd1","Aarsd1",1,0,5,6,12,10
"Gm10863","Gm10863",152,159,176,424,283,293
"X6330403L08Rik","6330403L08Rik",12,29,20,25,15,14
"Zfp652","Zfp652",406,493,489,396,180,170
"B130006D01Rik","B130006D01Rik",0,2,5,1,2,2
"Zc3h3","Zc3h3",697,966,888,613,490,594
"Ly6a","Ly6a",2,7,7,85,91,74
"Gm7935","Gm7935",27,23,17,21,12,22
"Gm11545","Gm11545",215,197,252,155,122,122
"Selenot","Selenot",228,216,236,593,273,310
"Selenos","Selenos",1158,1372,1189,2778,1867,1954
"Selenom","Selenom",491,614,535,958,741,927
"Selenoi","Selenoi",290,462,456,924,474,564
"Txnrd2","Txnrd2",1561,2106,2106,1973,1267,1484
"Msrb1","Msrb1",1545,1542,1491,2777,2159,2240
"Gpx4","Gpx4",7934,9481,7822,17987,14224,16842
"Gm23935","Gm23935",42056,60517,48757,32130,26333,42562
"Gm24270","Gm24270",1840,2835,2014,1335,1094,1638
"Sox4","Sox4",85,125,82,135,85,147
"Ywhaq","Ywhaq",5320,6424,6075,9942,6413,6751
"Cep295nl","Cep295nl",19,10,16,10,14,12
"Acsf2","Acsf2",346,406,359,370,270,270
"Selenoh","Selenoh",288,398,284,1519,978,1059
"Ass1","Ass1",993,1215,1022,4499,3087,3822
"Ighm","Ighm",1,11,1,5,0,1
"Rab11b","Rab11b",2927,3606,3389,3595,2671,2792
"Rpl23a.ps3","Rpl23a-ps3",21,34,23,8,5,25
"Actl10","Actl10",12,35,31,29,6,25
"Ankrd63","Ankrd63",21,36,25,40,25,12
"Psme2b","Psme2b",295,414,331,903,775,988
"Gm16503","Gm16503",0,0,0,0,0,0
"Chml","Chml",61,92,80,62,53,74
"Gm2000","Gm2000",293,335,270,442,350,361
"Tmem203","Tmem203",168,205,193,163,130,130
"Airn","Airn",36,58,32,58,24,42
"Hmga1b","Hmga1b",66,98,64,80,76,98
"F8a","F8a",171,200,126,173,172,145
"Sf3b5","Sf3b5",1724,2191,1641,3594,2438,2842
"AW011738","AW011738",4,15,10,75,52,45
"Gm4294","Gm4294",36,41,16,36,26,36
"Sarnp","Sarnp",968,1012,901,1553,847,1105
"Ctdsp2","Ctdsp2",1841,2653,2148,1713,1091,1295
"Dohh","Dohh",534,756,601,1061,755,884
"Raet1d","Raet1d",15,6,3,140,95,128
"Abracl","Abracl",166,194,182,678,487,658
"Plekhn1","Plekhn1",1516,2118,1807,2085,1374,1679
"Perm1","Perm1",23,12,31,33,46,24
"Cfap74","Cfap74",21,33,28,83,76,33
"Zfp984","Zfp984",220,253,257,293,141,258
"Ddi2","Ddi2",1192,1550,1442,1493,860,958
"Emc1","Emc1",5242,5549,5666,5290,3587,4292
"Aunip","Aunip",83,128,90,323,260,245
"Nkain1","Nkain1",117,77,64,188,82,58
"Zfp995","Zfp995",40,80,75,61,45,86
"Bnip3","Bnip3",3271,4701,3897,1092,590,696
"X1110065P20Rik","1110065P20Rik",56,72,52,100,73,88
"Ndufaf8","Ndufaf8",427,473,373,684,472,441
"Ube2d3","Ube2d3",8521,10548,10015,17529,9227,12358
"E430018J23Rik","E430018J23Rik",177,126,139,93,80,133
"AU022252","AU022252",564,648,542,662,507,529
"Gm4609","Gm4609",17,36,3,13,12,23
"Gm4070","Gm4070",60,57,57,85,43,74
"X1810010H24Rik","1810010H24Rik",38,55,38,90,23,35
"Smarcd2","Smarcd2",3179,4065,3491,3689,2718,3183
"Ccdc47","Ccdc47",1770,2187,2058,2939,1659,1915
"Gm7336","Gm7336",20,32,12,17,24,34
"Aoc2","Aoc2",27,11,10,43,32,28
"Psme3","Psme3",4798,5433,5059,8776,5637,6824
"Cntd1","Cntd1",27,37,30,96,54,46
"Chd2","Chd2",1071,1176,1163,1581,903,854
"Casc3","Casc3",904,1204,1129,1995,1267,1394
"Tm2d3","Tm2d3",1017,1172,1041,1141,758,890
"X5830417I10Rik","5830417I10Rik",651,717,775,892,623,684
"Cisd3","Cisd3",494,690,520,2135,1590,1884
"D030028A08Rik","D030028A08Rik",122,166,127,220,117,142
"Tomm5","Tomm5",971,1354,998,3340,2688,2964
"Tmem8b","Tmem8b",41,62,38,64,24,34
"Haus5","Haus5",75,114,72,179,119,129
"Zfp566","Zfp566",5,26,26,39,32,27
"Evi2a","Evi2a",742,914,726,1197,758,787
"Rad54b","Rad54b",56,104,86,355,276,285
"X9530053A07Rik","9530053A07Rik",4,5,18,51,42,37
"Zfp59","Zfp59",126,168,243,284,136,186
"X1810022K09Rik","1810022K09Rik",198,401,372,695,467,749
"BC024978","BC024978",134,140,109,133,94,81
"Dph1","Dph1",688,893,761,847,727,775
"Zfp541","Zfp541",30,8,14,7,1,2
"Eif5a","Eif5a",22688,30045,25050,52094,39295,46773
"Leng1","Leng1",310,361,387,739,591,570
"Hist3h2a","Hist3h2a",66,65,79,168,65,98
"Igtp","Igtp",232,267,217,796,656,645
"Zfp931","Zfp931",21,21,14,16,14,9
"Gm14326","Gm14326",122,102,84,153,119,158
"Gm14322","Gm14322",5,10,6,10,14,43
"Gm14418","Gm14418",4,25,12,30,31,28
"Gm14410","Gm14410",63,80,58,152,140,189
"Gm14295","Gm14295",33,35,31,61,44,39
"Gm14305","Gm14305",73,98,74,151,76,164
"Gm4724","Gm4724",16,24,17,56,36,38
"Fam186b","Fam186b",26,19,45,19,7,36
"Mon1b","Mon1b",1020,1148,1182,2054,1303,1449
"Dpm1","Dpm1",31,31,29,65,18,33
"Ifi47","Ifi47",28,44,32,183,146,116
"Ube2v1","Ube2v1",9,8,9,32,15,14
"Ak6","Ak6",491,624,494,1229,803,867
"Naip6","Naip6",394,644,497,1050,543,630
"Naip2","Naip2",946,1280,1129,3060,1991,2191
"Lncenc1","Lncenc1",0,1,11,0,1,0
"Arhgap8","Arhgap8",780,789,823,763,566,756
"Gm14221","Gm14221",77,90,89,178,81,90
"X4932414J04Rik","4932414J04Rik",0,0,0,0,0,0
"Gm12033","Gm12033",4,19,8,20,6,22
"Wdr92","Wdr92",461,660,546,1129,866,869
"Sec61g","Sec61g",899,1064,906,2455,1835,1888
"Zfp429","Zfp429",121,83,109,128,80,88
"Zfp456","Zfp456",23,29,33,39,33,21
"Samd1","Samd1",48,102,49,38,47,62
"Ifi27l2a","Ifi27l2a",800,1077,814,836,475,525
"Ly6c1","Ly6c1",0,0,0,5,6,5
"Slc45a4","Slc45a4",535,654,461,850,502,489
"Mef2b","Mef2b",384,335,384,141,102,128
"Alkbh1","Alkbh1",233,332,363,697,572,514
"Prnp","Prnp",1198,1367,1413,953,676,800
"D130040H23Rik","D130040H23Rik",0,0,0,0,0,0
"Fastkd5","Fastkd5",289,367,422,767,581,515
"Serpinb1c","Serpinb1c",383,493,416,235,136,170
"Vinac1","Vinac1",0,5,0,0,0,0
"Kcnip3","Kcnip3",19,18,29,12,5,29
"Cyp4v3","Cyp4v3",2668,3277,3241,3338,2399,2502
"BC005561","BC005561",54,126,81,109,63,70
"Jrkl","Jrkl",20,21,7,20,18,16
"Ccdc82","Ccdc82",317,350,406,535,272,359
"Prps1l3","Prps1l3",731,885,832,1669,872,973
"Srp54c","Srp54c",273,355,387,712,360,464
"Pms2","Pms2",373,435,431,958,731,542
"Capn3","Capn3",0,34,21,0,0,0
"Kdelr2","Kdelr2",1660,2093,1766,4265,2890,3368
"Gm4204","Gm4204",116,167,136,248,191,152
"A130010J15Rik","A130010J15Rik",100,92,87,203,135,141
"Zan","Zan",687,805,837,541,279,272
"Rab10os","Rab10os",658,942,844,933,629,753
"Mphosph8","Mphosph8",229,299,236,482,270,375
"AC133103.1","AC133103.1",137,161,128,696,446,415
"Psme2","Psme2",3183,3922,3370,13737,10275,11190
"Zfp664","Zfp664",605,563,675,982,562,595
"Gm9531","Gm9531",37,48,53,182,87,135
"Ccr5","Ccr5",7,11,9,0,1,4
"C730034F03Rik","C730034F03Rik",69,31,50,45,54,106
"Trim71","Trim71",0,0,0,0,0,0
"Tmppe","Tmppe",387,364,371,700,557,431
"X2310009B15Rik","2310009B15Rik",252,247,223,375,276,298
"Clec7a","Clec7a",2317,2049,2242,3337,1822,2137
"Gm2223","Gm2223",14,46,31,45,58,38
"Rab9","Rab9",587,857,705,1063,520,756
"Trappc2","Trappc2",151,202,218,383,206,271
"Naa80","Naa80",860,989,1004,650,455,540
"Ifit1bl1","Ifit1bl1",7,1,0,22,17,3
"Gm11110","Gm11110",245,330,240,215,182,231
"Atg4a","Atg4a",669,749,663,1710,943,1104
"Ms4a6c","Ms4a6c",19,27,19,86,91,118
"Arpc4","Arpc4",4222,5425,4907,7590,5080,6664
"Mthfsl","Mthfsl",451,464,419,941,624,738
"Mroh2a","Mroh2a",89,64,69,611,439,590
"Rpl36a","Rpl36a",2265,2558,2181,3294,2163,2738
"St6galnac4","St6galnac4",4000,4651,3942,6768,5422,6184
"B3gnt7","B3gnt7",25,30,49,12,9,23
"Col4a3","Col4a3",0,4,0,1,0,4
"Pigb","Pigb",230,418,312,497,370,354
"Utp14b","Utp14b",123,89,103,237,175,86
"Rab7","Rab7",7279,8989,8204,13537,8505,9623
"Pin4","Pin4",499,644,477,1414,1026,1178
"Nhsl2","Nhsl2",0,1,0,15,19,14
"Med12","Med12",2413,2949,2764,3253,1984,2039
"H2.T10","H2-T10",15,18,41,279,264,223
"X6530402F18Rik","6530402F18Rik",4,6,0,1843,1466,1681
"Gm11131","Gm11131",2,1,0,5,0,0
"H2.Q1","H2-Q1",17,17,30,24,19,24
"Apoo","Apoo",503,766,540,1379,898,940
"Zfx","Zfx",458,655,549,868,285,576
"Tmsb10","Tmsb10",816,1038,852,1921,1400,1714
"H2.DMb1","H2-DMb1",939,1296,1122,1708,1272,1368
"Kifc1","Kifc1",330,439,304,1127,809,884
"Aox2","Aox2",0,1,0,0,7,10
"Haus3","Haus3",236,332,225,509,269,337
"X44987.1","44987",1128,1364,1208,1810,1302,1484
"Maea","Maea",3208,4051,3703,5544,3417,3732
"Rbpj.ps3","Rbpj-ps3",21,15,15,35,20,26
"Tmem217","Tmem217",18,27,24,46,21,50
"Gm364","Gm364",0,2,0,112,59,95
"Stard6","Stard6",12,19,24,64,22,31
"Ankrd39","Ankrd39",217,274,241,353,262,292
"Seh1l","Seh1l",1253,1499,1458,2018,1178,1427
"Tm4sf19","Tm4sf19",74,75,64,360,231,223
"Rpl39","Rpl39",3210,3718,2914,5026,3370,4407
"Gm1110","Gm1110",0,0,0,0,0,0
"Eloc","Eloc",991,1149,1031,2112,1366,1696
"Tmem243","Tmem243",107,164,129,368,251,250
"X2610203C22Rik","2610203C22Rik",61,84,100,188,153,166
"Ulbp1","Ulbp1",441,592,661,1919,858,1261
"X3110001I22Rik","3110001I22Rik",59,44,52,111,67,70
"AC168977.1","AC168977.1",97,89,112,431,287,441
"Tmlhe","Tmlhe",1558,1790,1881,1650,791,1050
"Gm10698","Gm10698",36,30,26,70,68,56
"Gm11273","Gm11273",22,29,11,43,35,33
"Eef1akmt3","Eef1akmt3",4,5,6,17,1,11
"Atp6v0c.ps2","Atp6v0c-ps2",387,455,326,365,314,393
"B230307C23Rik","B230307C23Rik",43,77,53,86,45,49
"C920021L13Rik","C920021L13Rik",24,38,22,26,15,31
"Rps2.ps9","Rps2-ps9",0,0,4,11,1,1
"Gm12174","Gm12174",25,38,39,51,25,69
"Gm8250","Gm8250",3,4,0,0,0,4
"Gm15760","Gm15760",10,7,32,33,6,18
"Gm9385","Gm9385",24,30,9,45,26,34
"Gm7332","Gm7332",14,17,12,36,16,26
"Rpl38.ps2","Rpl38-ps2",217,218,220,239,208,234
"Gm7278","Gm7278",1,1,0,2,10,5
"Rps24.ps3","Rps24-ps3",14,4,7,15,9,14
"Gm15427","Gm15427",394,513,291,278,258,288
"Hist2h3c2","Hist2h3c2",126,152,176,520,352,456
"Gm13181","Gm13181",0,1,0,2,1,1
"Rps15a.ps7","Rps15a-ps7",29,20,9,20,28,25
"Rpl19.ps11","Rpl19-ps11",420,626,444,680,508,578
"Gm5270","Gm5270",0,0,0,4,1,0
"Gm5913","Gm5913",14,15,14,35,31,26
"BC022960","BC022960",4,13,11,48,15,35
"Gm6024","Gm6024",0,0,0,0,0,0
"Gm14760","Gm14760",10,48,15,52,31,29
"Gm12164","Gm12164",35,43,29,39,26,23
"Gm13509","Gm13509",139,186,173,210,162,204
"Gm14303","Gm14303",62,84,47,95,52,61
"Rpl18.ps1","Rpl18-ps1",11,14,11,2,7,22
"Gm13680","Gm13680",26,21,19,39,21,42
"Gm15455","Gm15455",1,0,2,1,3,1
"Rps6.ps4","Rps6-ps4",178,248,212,313,223,203
"Gm14165","Gm14165",12,9,2,4,9,2
"Gm12338","Gm12338",78,84,50,144,93,82
"Slc48a1","Slc48a1",18070,23106,21214,42789,27732,34509
"Gm12286","Gm12286",20,11,3,4,6,5
"Gm11518","Gm11518",18,12,11,26,24,24
"Gm11605","Gm11605",7,19,4,18,21,11
"Gm15922","Gm15922",110,63,102,169,126,97
"Gm15697","Gm15697",0,1,1,1,1,3
"Gm6325","Gm6325",8,2,12,26,22,22
"Gm5898","Gm5898",12,11,17,20,19,11
"BC002163","BC002163",35,61,34,80,30,71
"Gm13669","Gm13669",23,47,66,155,109,81
"Rpl17.ps5","Rpl17-ps5",16,30,22,76,70,41
"Rpl17.ps10","Rpl17-ps10",42,32,32,81,42,42
"Gm15536","Gm15536",5,4,4,4,5,18
"Gm13408","Gm13408",14,1,9,8,9,10
"Gm13461","Gm13461",44,42,29,120,82,77
"Pgam1.ps2","Pgam1-ps2",172,227,143,182,166,196
"H3f3c","H3f3c",45,61,42,144,65,112
"Snrpert","Snrpert",64,49,44,112,141,114
"Gm11585","Gm11585",40,20,28,57,34,46
"Ftl2.ps","Ftl2-ps",577,762,533,634,404,486
"Gm13230","Gm13230",82,84,79,233,122,261
"Gm13577","Gm13577",5,27,13,33,17,25
"Gm14276","Gm14276",73,93,75,213,125,130
"Gm14231","Gm14231",0,0,0,0,0,0
"H3f3a.ps1","H3f3a-ps1",28,28,26,96,32,58
"Pisd.ps1","Pisd-ps1",28,23,20,73,26,29
"Gm12250","Gm12250",1,0,4,106,78,80
"Gm16523","Gm16523",0,0,1,0,0,2
"Gm8822","Gm8822",44,25,46,29,33,50
"Gm11425","Gm11425",8,5,2,15,13,11
"Gm13776","Gm13776",0,0,0,4,0,0
"Gm13456","Gm13456",252,314,252,328,161,234
"Gm14336","Gm14336",0,0,0,0,0,0
"Gm15387","Gm15387",14,16,11,22,16,18
"Fau.ps2","Fau-ps2",0,0,0,0,0,4
"Gm11470","Gm11470",13,1,13,18,16,9
"Gm11914","Gm11914",4,16,6,18,19,12
"Dynlt1.ps1","Dynlt1-ps1",13,12,14,36,22,20
"Gm12366","Gm12366",6,1,12,4,9,4
"X1700064H15Rik","1700064H15Rik",0,0,2,3,3,9
"Gm14150","Gm14150",11,26,20,39,33,64
"Gm14537","Gm14537",0,1,1,5,2,0
"Gm5844","Gm5844",16,29,17,45,38,38
"Gm11462","Gm11462",0,0,5,0,5,2
"Gm8172","Gm8172",20,8,2,8,10,5
"Gm7658","Gm7658",7,12,1,16,14,14
"Gm6884","Gm6884",0,0,0,0,0,4
"Fam220a","Fam220a",2,4,0,14,2,8
"Gm12191","Gm12191",19,19,19,20,20,28
"Gm11249","Gm11249",21,7,19,10,6,10
"Gm14494","Gm14494",49,55,39,78,41,59
"Gm11427","Gm11427",287,339,304,875,467,550
"Gm12693","Gm12693",15,9,9,7,4,5
"Gm13453","Gm13453",34,20,34,32,12,17
"Ctsf","Ctsf",9468,12069,10798,5305,3568,4045
"Vcp.rs","Vcp-rs",130,221,129,357,171,265
"Gm11539","Gm11539",11,8,4,11,9,5
"Gm14237","Gm14237",0,0,0,0,1,0
"Llph.ps2","Llph-ps2",11,18,15,27,10,29
"Gm15542","Gm15542",14,16,10,40,32,27
"Gm11263","Gm11263",23,38,28,47,27,18
"Gm13340","Gm13340",27,29,24,35,18,16
"Gm11451","Gm11451",132,163,124,289,198,237
"Gm14586","Gm14586",24,30,26,29,33,45
"Gm4459","Gm4459",20,24,15,29,22,26
"Gm6088","Gm6088",262,263,352,357,189,218
"Gm12989","Gm12989",13,11,4,28,21,28
"Gm12687","Gm12687",0,0,0,0,0,0
"Gm13436","Gm13436",45,48,25,52,40,48
