"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"Abcc4",1254.26544382196,1325.8766685979,1088.15842564069,2717.54003345099,2947.96797774478,2622.07154847728
"Rnft2",99.7165055912093,54.3639636327157,83.6209568606116,73.3517164492351,56.8810147839439,67.5742576921549
"Pkd1",1863.37711050561,1714.47833456509,1822.28526768969,1199.01844195865,1022.76440044207,1124.96862805813
"P2ry2",1463.30968445895,1412.45631438334,1509.52116930195,1891.62791843124,2186.63747217507,2011.04797892286
"Fbxw8",4117.21041760331,3882.99643947008,3890.00347369754,2791.59705486608,2998.28579851519,3146.48585817273
"Psmf1",1943.87115718767,1903.74546721232,1740.83628373455,1952.98945046088,2434.94497902037,2216.62600232435
"Smap2",1617.08935573214,1823.20626183052,1699.56879853061,934.52907976189,1027.13986311776,947.943107906849
"Cyb5r4",2267.04874759773,2219.86184833589,2227.35821455993,3324.80760905475,2677.78315752105,2584.00154414367
"Arhgef17",3.6042110454654,7.04718047090759,1.08598645273522,14.1060993171606,13.126388027064,10.4692511917423
"Acsl3",1279.49492114022,1134.59605581612,1327.07544524243,1818.276201982,1371.70754882818,1359.09915470982
"Nfyc",1072.85348786687,1103.38711373067,1056.66481851137,1080.5272076945,1266.69644461167,1258.21364322576
"Fbxo21",1239.8485996401,1159.76455749794,1311.87163490414,1208.18740651481,1108.08592261798,1137.34137946655
"Slc16a1",4137.63428019428,4829.33210270625,4691.46147581613,7620.11485113016,6995.27095275617,7497.88735350417
"Atg12",2256.23611446134,2440.33792306857,2238.21807908728,2903.74054443751,2518.07876985844,2552.59379056844
"Sgpp2",15.6182478636834,10.0674006727251,20.6337426019691,4.23182979514818,0,0
"Lrig2",1040.41558845768,899.018880074354,1084.90046628248,785.004426999987,516.304595731183,697.632829413374
"Hspa13",623.528510865514,550.686816798065,570.142887685988,626.310809681931,654.131670015354,582.471066304208
"Nup93",3224.56748200971,3493.38803343562,3390.44970543934,4118.98100061089,4554.8566453912,4008.77145632896
"Rasgrp2",147.772652864081,156.04471042724,139.006265950108,414.014014958664,402.542566163295,444.467300594878
"Ap4b1",68.4800098638425,89.5998659872537,119.458509800874,98.7426952201242,106.104969885434,102.789011700743
"Pebp1",9697.73051966556,10090.5556942724,9572.97058086093,9132.99400289563,10448.6048695429,10531.1149487844
"Ift57",318.371975682777,351.352283478107,405.072946870236,835.786384541765,748.204117542646,819.45684328092
"Fkbp1a",19812.3481169233,20160.9765871993,19326.2149128759,13964.3330190231,14920.327724096,14774.9686818734
"Fam207a",814.55169627518,793.31117301074,741.728747218153,872.462242766383,1120.11844497613,1000.28936386556
"Guca2b",16.8196515455052,25.1685016818128,14.1178238855578,21.8644539415989,10.93865668922,2.85525032502063
"Chpf",1648.32585145951,1580.58190561785,1720.20254113258,1969.21146467562,2329.93387480385,2410.78302442575
"Foxj3",1680.7637508687,1369.16649149062,1889.61642775928,1242.04204487599,1065.42516153003,996.482363432199
"Mycbp2",1945.07256086949,1619.84476824147,1934.14187232142,1673.6886839811,1708.61817485616,1521.84842323599
"Ogfod1",426.498307046739,596.9968598926,436.566553999557,651.70178845282,694.604699765468,672.887326596528
"Trim33",1041.6169921395,957.40980397616,1016.48331976016,850.597788824784,627.878893961226,534.883560887198
"Nfatc1",2575.80949382594,2465.50642475038,2465.18924770894,1562.95580434139,1539.06899617325,1588.47093081981
"Polr2f",2491.71123609841,2484.63448602856,2281.65753719669,1783.71625865496,2293.83630772943,2248.03375589957
"Gmppa",3130.85799482761,3479.29367249381,3208.00398137983,2292.2411390386,2694.19114255488,2779.11031635341
"Cip2a",173.002130182339,184.23343231087,149.86613047746,291.290950899366,226.430193466853,284.573282393723
"Afap1l1",147.772652864081,99.6672666599788,143.350211761049,125.544283922729,123.606820588186,125.631014300908
"Calhm2",1303.52299477665,1180.90609891066,1371.60088980458,923.949505274019,956.038594637826,1003.14461419058
"Micall1",762.891337956842,705.724787158032,741.728747218153,572.70763227672,671.633520718106,601.506068471012
"Eif3l",6489.98268920136,6316.28718206775,6066.32032497892,7462.83184374381,8304.6281584558,8073.69616905
"Npat",567.062537819889,800.358353481648,724.352963974389,734.222469458209,528.337118089325,678.597827246569
"Ankrd54",881.8303024572,963.450244379795,879.649026715525,852.0083987565,1139.80802701672,1115.45112697473
"Pygb",3672.69105532924,3901.11776068099,4043.12756353321,2475.62043016168,2695.2850082238,2546.8832899184
"Pfkm",2572.20528278047,2806.79130755577,2905.0137610667,1536.15421563879,1548.91378719355,1701.72919371229
