"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Rmdn3","Rmdn3",1189,1448,1485,1393,1113,1367
"Rbm44","Rbm44",0,0,0,0,0,0
"Fryl","Fryl",1013,974,989,1274,882,1601
"Tmem35b","Tmem35b",2817,2958,2877,4030,3533,3779
"Dgkd","Dgkd",12887,13754,14140,12273,9570,12543
"Rbm47","Rbm47",1190,1374,1170,1353,1163,1629
"Bicra","Bicra",149,151,109,149,91,177
"Zswim9","Zswim9",41,65,53,44,73,100
"Zscan18","Zscan18",78,120,104,141,117,91
"Gm1673","Gm1673",110,144,104,176,197,219
"Ccnyl1","Ccnyl1",26,19,31,67,8,37
"Lilra5","Lilra5",21,18,13,12,4,8
"Ccdc173","Ccdc173",4,20,11,5,16,35
"Zfp352","Zfp352",0,0,2,0,0,0
"Klhl9","Klhl9",1077,1182,1135,1710,1246,2077
"Rraga","Rraga",1142,1505,1339,1204,897,1275
"Tgfbrap1","Tgfbrap1",992,1117,1007,1344,1055,1498
"Il1rl2","Il1rl2",7,30,2,94,86,67
"Rabepk","Rabepk",853,970,971,898,737,968
"Dnajc25","Dnajc25",47,70,80,47,63,46
"Ndufb6","Ndufb6",963,1238,1061,1126,889,1153
"Camkmt","Camkmt",117,69,123,110,93,84
"Impdh2.ps","Impdh2-ps",40,79,62,83,76,91
"Rasgrp3","Rasgrp3",3712,3781,3486,8351,6156,8838
"Safb","Safb",1411,1994,1815,1836,1440,1935
"Zfp827","Zfp827",23,15,49,16,22,12
"Treml2","Treml2",151,176,181,148,141,136
"Ptges3","Ptges3",1163,1704,1494,1456,1179,1882
"Lrrc73","Lrrc73",23,34,34,6,12,6
"Yipf3","Yipf3",3372,3960,3767,3474,3167,3744
"Jund","Jund",556,736,796,371,214,208
"Nr2c2ap","Nr2c2ap",45,75,59,39,61,78
"X1700029J07Rik","1700029J07Rik",5,18,6,17,0,1
"Srsf3","Srsf3",2554,3381,2514,3818,2915,5206
"Arhgef10","Arhgef10",162,250,234,338,179,362
"Smim15","Smim15",219,251,197,295,238,398
"X3830408C21Rik","3830408C21Rik",1,24,3,10,25,3
"Ccdc78","Ccdc78",3,2,1,2,7,4
"Naip5","Naip5",539,775,697,995,878,1252
"Cecr2","Cecr2",0,0,0,0,0,0
"X2210408I21Rik","2210408I21Rik",149,166,123,176,142,208
"Slc25a16","Slc25a16",307,475,455,515,364,640
"Zfp213","Zfp213",107,82,94,126,104,77
"Zfp946","Zfp946",189,217,198,206,167,355
"Zfp942","Zfp942",126,264,169,162,182,261
"Zfp65","Zfp65",116,196,168,278,104,262
"Zfp58","Zfp58",28,28,38,41,31,54
"X2610044O15Rik8","2610044O15Rik8",123,188,181,208,158,306
"Armc2","Armc2",55,101,87,119,86,74
"Mfsd4b3","Mfsd4b3",18,10,2,22,27,35
"Tia1","Tia1",87,120,93,104,83,212
"Lsmem1","Lsmem1",0,0,0,0,0,0
"Setdb2","Setdb2",195,196,225,190,109,233
"Tbpl1","Tbpl1",825,862,956,862,642,1019
"Map3k5","Map3k5",131,141,122,388,183,241
"Hpcal1","Hpcal1",1761,1951,2031,1450,1174,1603
"Rpl23","Rpl23",4951,5686,5128,5544,4698,5905
"Grid2","Grid2",0,0,0,0,0,0
"Psmg4","Psmg4",501,585,451,392,359,539
"Gm11397","Gm11397",0,0,0,0,0,0
"Dtnb","Dtnb",1660,2151,2012,1964,1580,1647
"X1110002L01Rik","1110002L01Rik",212,262,263,291,260,401
"Zfp777","Zfp777",307,466,395,271,182,279
"Nutf2.ps1","Nutf2-ps1",8,15,13,24,22,38
"Usmg5","Usmg5",4242,4959,4133,4106,3872,5696
"Pcnp","Pcnp",693,836,848,1152,685,1409
"Klrg2","Klrg2",452,687,591,397,308,692
"Nt5dc2","Nt5dc2",1917,3043,1953,1876,1564,2569
"Cpa2","Cpa2",7,12,11,13,25,4
"Rnls","Rnls",58,67,75,96,70,81
"Fam189a2","Fam189a2",148,192,169,310,148,116
"X2510002D24Rik","2510002D24Rik",168,197,161,224,180,281
"Rimbp3","Rimbp3",5,12,11,21,18,22
"Cebpd","Cebpd",316,367,381,246,173,219
"Eef1g","Eef1g",19052,23923,20832,20837,17829,21055
"Tut1","Tut1",1953,2605,2157,2135,1763,2302
"Mta2","Mta2",7828,9153,8883,9384,8258,10234
"Eml3","Eml3",1455,1717,1794,1725,1468,1852
"Rom1","Rom1",28,70,48,55,40,61
"B3gat3","B3gat3",1067,1501,1291,1211,988,1125
"Ganab","Ganab",7693,9145,8636,9554,7842,10463
"Ints5","Ints5",1896,2350,2297,2361,1896,2479
"Uqcc3","Uqcc3",792,756,615,757,694,995
"Ubxn1","Ubxn1",5413,6683,6175,6024,5389,5913
"Lrrn4cl","Lrrn4cl",1945,2300,2044,546,384,578
"Bscl2","Bscl2",2357,2891,2619,3706,2994,3538
"Hnrnpul2","Hnrnpul2",668,669,786,748,614,918
"Ttc9c","Ttc9c",627,745,665,722,647,890
"Zbtb3","Zbtb3",85,65,83,75,91,113
"Polr2g","Polr2g",2211,2364,2157,2407,2269,2544
"Snx29","Snx29",227,181,223,283,185,201
"Gm960","Gm960",153,118,98,140,147,253
"Sms","Sms",501,650,582,620,393,697
"Mpst","Mpst",868,989,742,558,626,536
"Csf2rb","Csf2rb",16412,19894,18338,9871,8173,11200
"Csf2rb2","Csf2rb2",5942,6390,6313,3049,2303,3821
"Ncf4","Ncf4",3391,4631,3972,1817,1563,2279
"Smpd5","Smpd5",50,55,60,124,76,76
"C230004F18Rik","C230004F18Rik",1,0,0,0,0,0
"Zhx2","Zhx2",36,72,71,73,86,81
"X2610005L07Rik","2610005L07Rik",127,116,175,156,83,164
"X6820431F20Rik","6820431F20Rik",49,46,42,59,23,42
"Ccdc112","Ccdc112",35,54,62,110,87,70
"Mcc","Mcc",0,7,3,0,0,0
"Ppia","Ppia",24236,29807,24545,27060,24215,33176
"Ccnf","Ccnf",1853,2438,2112,2520,2230,3202
"A530040E14Rik","A530040E14Rik",64,65,84,46,61,57
"Ang","Ang",132,143,135,704,564,776
"Tuba1a","Tuba1a",2260,3024,2274,3142,2501,4136
"Trim6","Trim6",0,0,0,0,0,0
"Taf1a","Taf1a",145,107,152,155,108,175
"C2cd6","C2cd6",0,0,0,0,0,0
"Nanos1","Nanos1",17,21,18,14,20,63
"Phf20l1","Phf20l1",361,411,476,448,360,628
"Fam84b","Fam84b",216,247,282,243,143,207
"Slc39a2","Slc39a2",2637,2871,2730,4673,3835,4859
"Gm10369","Gm10369",44,29,23,25,33,31
"Ptrh2","Ptrh2",601,584,468,566,487,859
"Gm10382","Gm10382",23,19,31,23,21,21
"Gm10384","Gm10384",10,21,16,81,47,53
"Slfn2","Slfn2",2664,3402,2701,1042,744,1219
"Slfn10.ps","Slfn10-ps",322,331,409,212,194,292
"Zfp9","Zfp9",12,23,19,37,20,24
"Lyrm9","Lyrm9",178,183,159,192,202,235
"Spef2","Spef2",0,0,0,0,0,9
"Rpl37rt","Rpl37rt",63,60,51,64,82,79
"X1500011B03Rik","1500011B03Rik",1169,1503,1357,1149,1057,1366
"Smim10l1","Smim10l1",320,271,313,352,326,449
"Myo18b","Myo18b",30,58,24,38,44,49
"Gm6712","Gm6712",41,10,22,17,4,29
"X4930522L14Rik","4930522L14Rik",44,128,78,121,54,150
"X5430403G16Rik","5430403G16Rik",19,38,22,50,47,80
"Gm10419","Gm10419",12,16,27,17,1,14
"Grcc10","Grcc10",122,163,104,155,153,123
"X9330160F10Rik","9330160F10Rik",13,8,3,16,17,29
"Ahnak2","Ahnak2",9999,9849,11509,9551,8276,8813
"Cep170b","Cep170b",3493,3993,3774,3209,1995,2319
"G530011O06Rik","G530011O06Rik",7,27,39,20,6,31
"Tmprss11a","Tmprss11a",0,0,0,0,0,0
"A530017D24Rik","A530017D24Rik",16,9,27,45,36,52
"Rybp","Rybp",161,204,144,172,98,104
"Nfxl1","Nfxl1",565,598,768,679,611,788
"X4933439C10Rik","4933439C10Rik",31,21,24,45,34,34
"Gm12258","Gm12258",34,24,12,46,31,29
"Gm10443","Gm10443",49,49,36,63,41,59
"Sod3","Sod3",0,0,0,0,0,0
"Ptgr2","Ptgr2",1077,1275,1134,1356,1128,1525
"Armcx5","Armcx5",53,103,89,112,65,164
"Oip5","Oip5",149,242,235,287,223,450
"Gm5127","Gm5127",12,19,23,15,10,20
"Uprt","Uprt",63,52,65,68,45,77
"Zxdb","Zxdb",49,27,30,46,10,24
"Srp54a","Srp54a",109,174,82,90,104,121
"Lrrc61","Lrrc61",439,461,446,555,422,443
"Gm1141","Gm1141",0,2,0,0,10,0
"Vma21","Vma21",1145,1346,1373,1615,1104,1817
"Tmem185a","Tmem185a",1363,1434,1465,1589,1306,1774
"X5031425E22Rik","5031425E22Rik",65,75,69,75,66,77
"X1810058I24Rik","1810058I24Rik",2396,2682,2416,3159,2420,3664
"Zfp449","Zfp449",17,46,40,47,27,46
"Bnip3l.ps","Bnip3l-ps",31,85,55,66,42,61
"X2500004C02Rik","2500004C02Rik",7,6,0,9,10,18
"Dnmt3aos","Dnmt3aos",8,5,11,1,1,7
"Gm10499","Gm10499",1,1,0,0,0,0
"H2.T.ps","H2-T-ps",11,11,9,4,2,15
"H2.D1","H2-D1",125640,149863,137800,103377,85209,95644
"Lst1","Lst1",582,657,575,387,339,432
"C4b","C4b",4015,4458,4268,1614,1233,1234
"Zfp414","Zfp414",493,614,497,475,454,573
"Gm4924","Gm4924",70,60,62,78,79,105
"Arhgdig","Arhgdig",186,245,214,124,91,116
"Wdr90","Wdr90",722,839,770,1099,764,1375
"Eme2","Eme2",130,140,147,147,141,133
"Gm10509","Gm10509",42,28,35,54,38,28
"Smok2b","Smok2b",0,1,0,0,0,5
"Pnldc1","Pnldc1",0,0,0,0,0,1
"Sft2d1","Sft2d1",1257,1692,1339,1419,1374,1795
"Rsph3a","Rsph3a",247,256,211,280,198,280
"D730003I15Rik","D730003I15Rik",53,68,50,71,60,120
"X44987","44987",1482,1822,1663,1622,1277,1735
"Ifi204","Ifi204",552,684,540,414,219,678
"Ifi207","Ifi207",2521,2992,2928,1238,951,1682
"F830208F22Rik","F830208F22Rik",4,9,15,1,7,15
"Gm5532","Gm5532",0,0,0,8,3,17
"E330020D12Rik","E330020D12Rik",423,592,539,434,359,432
"Cep76","Cep76",238,333,252,306,222,361
"Ppp1r12b","Ppp1r12b",1764,1651,1949,5270,4567,5855
"Csnk1g3","Csnk1g3",478,648,586,829,417,459
"X1700066B19Rik","1700066B19Rik",4,2,14,15,5,1
"Prob1","Prob1",4,35,21,30,16,13
"Gal3st2c","Gal3st2c",0,1,0,1,0,3
"D2hgdh","D2hgdh",584,736,747,712,719,727
"Cops9","Cops9",2384,2599,2102,2596,2276,3116
"C130036L24Rik","C130036L24Rik",54,28,42,46,39,67
"Fbxo36","Fbxo36",385,417,465,481,430,367
"Rab18","Rab18",1467,2049,1861,2368,1625,2654
"Wdfy1","Wdfy1",2088,2359,2303,2964,2205,2937
"Gm10557","Gm10557",46,44,69,60,48,27
"Catip","Catip",25,9,16,27,19,31
"Nbeal1","Nbeal1",200,220,418,253,233,431
"Hspe1","Hspe1",2477,2898,2614,3205,2640,3692
"Pgap1","Pgap1",362,636,519,553,420,772
"Faap20","Faap20",959,995,929,931,777,868
"Klhl21","Klhl21",1911,2607,2297,2869,1710,2119
"Rpl31","Rpl31",4351,4936,4365,3901,3442,4518
"Cenps","Cenps",83,29,51,26,48,84
"Lmbrd1","Lmbrd1",2896,3142,3352,3087,2421,3517
"Tmem51os1","Tmem51os1",1,10,2,0,2,6
"Rsg1","Rsg1",16,42,25,16,54,44
"Gm16287","Gm16287",5,0,5,1,2,2
"X5730409E04Rik","5730409E04Rik",33,26,28,93,54,97
"Btbd19","Btbd19",116,166,103,217,213,210
"Kti12","Kti12",716,791,773,656,572,787
"Efcab7","Efcab7",170,155,127,120,81,203
"Alg6","Alg6",379,439,403,646,450,824
"Tufm","Tufm",3165,4060,3531,3424,2921,3649
"Iqck","Iqck",50,41,44,27,12,23
"Mob3b","Mob3b",45,47,46,77,64,57
"Trim68","Trim68",183,198,226,223,126,283
"Olfr554","Olfr554",0,0,0,1,0,0
"Gm9574","Gm9574",1,2,3,1,1,3
"Rhog","Rhog",3547,4173,3970,4336,3649,5247
"Ggh","Ggh",306,321,282,397,371,478
"X4632427E13Rik","4632427E13Rik",43,43,22,67,24,41
"Exoc8","Exoc8",1439,1520,1560,1807,1139,1388
"Mc1r","Mc1r",24,22,31,12,18,22
"X4930520O04Rik","4930520O04Rik",23,21,8,51,65,29
"Osgin1","Osgin1",614,752,773,683,593,680
"Mlycd","Mlycd",1515,1707,1543,1655,934,811
"Snrnp40","Snrnp40",1122,1465,1151,1327,1166,1787
"Svip","Svip",8,25,29,43,26,22
"Rbm15b","Rbm15b",643,661,634,733,160,223
"Rpl10.ps2","Rpl10-ps2",0,0,0,0,0,1
"Ntf5","Ntf5",50,38,42,57,49,43
"Rpl13a","Rpl13a",388,477,435,427,389,469
"X4930513N10Rik","4930513N10Rik",23,26,7,12,12,20
"Nlrc5","Nlrc5",1465,1600,1718,1841,1354,1702
"Zfp788","Zfp788",92,111,69,107,64,125
"AW146154","AW146154",25,45,64,76,40,92
"Plekhf1","Plekhf1",722,823,756,1255,1298,1299
"Znhit6","Znhit6",542,563,573,545,385,624
"Zfp791","Zfp791",92,78,68,96,61,96
"G430095P16Rik","G430095P16Rik",11,24,13,37,53,92
"Sdhaf1","Sdhaf1",81,106,70,72,59,60
"Dnajb14","Dnajb14",816,1094,985,2568,1574,3128
"Cox7a1","Cox7a1",63,73,76,158,139,141
"Zfp382","Zfp382",165,143,154,133,126,202
"Zfp568","Zfp568",303,253,269,373,233,326
"Ap1ar","Ap1ar",689,909,798,810,494,807
"Dda1","Dda1",3064,3599,3108,2749,2251,2794
"Ceacam1","Ceacam1",393,442,330,122,63,82
"Gm6166","Gm6166",45,56,32,48,51,66
"Gm12522","Gm12522",14,31,10,46,24,65
"Zfp94","Zfp94",168,152,142,193,156,163
"Zfp109","Zfp109",33,27,68,50,86,70
"Peak1","Peak1",1680,1642,1886,1919,1601,2501
"Apoc4","Apoc4",40,40,25,1371,1405,1118
"I830077J02Rik","I830077J02Rik",411,408,411,477,447,663
"Tmigd3","Tmigd3",105,119,50,146,156,182
"Ccdc61","Ccdc61",404,516,465,404,383,435
"C5ar2","C5ar2",11,21,22,303,281,366
"Gm5544","Gm5544",15,0,1,0,11,10
"Gm15441","Gm15441",13,10,22,20,16,27
"Zfp865","Zfp865",159,152,144,166,179,135
"Zfp628","Zfp628",128,96,142,103,92,90
"X3110039I08Rik","3110039I08Rik",2,5,1,1,0,0
"Gm14548","Gm14548",10,23,12,0,6,4
"Gm15417","Gm15417",51,57,90,24,61,49
"Spc24","Spc24",182,242,150,225,234,362
"Mex3a","Mex3a",16,5,5,13,11,15
"A430078G23Rik","A430078G23Rik",13,5,6,3,7,4
"Zfp558","Zfp558",8,25,13,17,33,33
"Fat3","Fat3",76,43,72,7,3,9
"Gm10705","Gm10705",23,16,18,11,16,23
"Arfip1","Arfip1",74,143,98,149,134,169
"Gm10709","Gm10709",17,25,30,35,10,25
"Gcnt7","Gcnt7",15,32,10,47,36,39
"Cass4","Cass4",66,158,73,74,39,56
"Mocs3","Mocs3",384,480,555,500,219,239
"Zfas1","Zfas1",352,346,277,372,301,360
"Lekr1","Lekr1",52,20,25,60,50,39
"X4931440P22Rik","4931440P22Rik",17,64,12,51,34,52
"Arfgef2","Arfgef2",3831,4419,4456,7038,5293,7037
"Mgst2","Mgst2",684,808,722,791,656,803
"Tox2","Tox2",293,374,421,259,231,171
"Mafb","Mafb",7318,9629,8657,17233,12114,18841
"Mroh8","Mroh8",0,0,0,0,1,0
"X4930518I15Rik","4930518I15Rik",16,24,16,12,7,9
"Cpne1","Cpne1",0,0,2,1,0,0
"X6430550D23Rik","6430550D23Rik",14,11,16,10,16,25
"BC029722","BC029722",547,645,507,692,696,741
"Mcidas","Mcidas",0,0,0,7,2,1
"Myh7b","Myh7b",7,37,28,51,15,35
"Lrrc31","Lrrc31",0,0,0,0,0,0
"Eif2s2","Eif2s2",2125,2708,2515,2010,1677,2632
"Sirpb1c","Sirpb1c",144,229,156,95,58,148
"Defb25","Defb25",14,40,37,12,9,5
"Zcchc3","Zcchc3",167,236,204,248,149,259
"Csnk2a1","Csnk2a1",1020,1347,1151,1655,1072,1811
"Zfp950","Zfp950",82,100,95,90,96,158
"Fndc10","Fndc10",188,247,182,455,181,180
"Thbd","Thbd",326,382,341,279,281,314
"Pdzd8","Pdzd8",847,1050,949,1408,1067,1779
"Atxn7l3b","Atxn7l3b",449,536,589,723,577,788
"Kiz","Kiz",304,402,298,315,327,461
"Smim26","Smim26",111,144,127,135,138,165
"Gm5535","Gm5535",0,3,2,16,4,0
"Ube2n","Ube2n",1461,1896,1656,2041,1619,2561
"AU019990","AU019990",8,5,4,1,13,6
"Plxnc1","Plxnc1",3799,4584,4197,4404,1643,2564
"Arrdc3","Arrdc3",97,142,113,203,146,215
"Slc4a11","Slc4a11",1,9,14,24,40,14
"Itpa","Itpa",571,878,532,622,526,901
"Gm4149","Gm4149",60,65,44,64,64,46
"Gas2l3","Gas2l3",1345,1571,1323,2023,1345,2644
"Gm10762","Gm10762",23,26,20,31,24,48
"Hps6","Hps6",1387,1599,1633,1388,1180,1767
"Gm14005","Gm14005",291,305,296,330,273,377
"Itpripl1","Itpripl1",266,397,264,264,205,275
"X2010315B03Rik","2010315B03Rik",127,178,144,212,162,204
"Platr25","Platr25",101,128,94,166,109,177
"Zfp934","Zfp934",42,49,81,82,59,114
"Zfp808","Zfp808",52,51,29,39,57,101
"Spata5l1","Spata5l1",336,370,252,248,205,227
"Serf2","Serf2",2084,2426,1954,2413,2210,2643
"Grk6","Grk6",1116,1495,1214,1281,505,642
"Lcmt2","Lcmt2",1825,2078,1888,2026,1619,2026
"Ifit3","Ifit3",56,61,60,13,4,5
"Sptbn5","Sptbn5",4,3,4,0,2,1
"Ranbp6","Ranbp6",134,141,111,337,206,456
"Chst14","Chst14",356,353,365,370,300,325
"Inafm2","Inafm2",327,316,398,467,286,323
"Fam122a","Fam122a",498,605,482,503,428,562
"Pak6","Pak6",0,1,1,0,2,1
"Ptar1","Ptar1",124,115,132,192,98,276
"Ano3","Ano3",0,1,0,0,0,0
"Gm11382","Gm11382",37,51,66,10,13,25
"Qser1","Qser1",295,477,341,455,296,494
"Nrbf2","Nrbf2",563,629,694,1063,907,1195
"Fjx1","Fjx1",49,34,48,44,26,23
"Gm10800","Gm10800",22,21,29,2,26,24
"Gm10801","Gm10801",0,1,1,0,1,1
"Prdm11","Prdm11",4,3,3,13,4,6
"Nxpe3","Nxpe3",190,300,303,380,354,415
"Zfp408","Zfp408",622,708,767,795,652,763
"Duxf3","Duxf3",0,1,0,0,0,6
"Vdac3.ps1","Vdac3-ps1",38,41,41,50,42,39
"Yae1d1","Yae1d1",115,132,170,193,112,203
"Olfr1271","Olfr1271",0,0,1,0,0,0
"Cd80","Cd80",132,127,177,109,74,119
"Ccdc162","Ccdc162",10,21,10,0,1,1
"Znhit2","Znhit2",743,977,905,845,621,806
"Ccdc58","Ccdc58",176,254,172,267,261,379
"Amd1","Amd1",1076,1263,1066,1435,915,1921
"Fsip2","Fsip2",0,0,0,0,0,0
"Heg1","Heg1",0,0,0,0,0,3
"Cerkl","Cerkl",0,0,0,0,0,3
"Cenpw","Cenpw",341,445,374,358,368,487
"Gm10819","Gm10819",22,34,26,14,22,37
"Pde11a","Pde11a",532,618,539,764,519,737
"Ttc30a1","Ttc30a1",119,103,97,174,150,174
"Ttc30b","Ttc30b",89,95,88,121,132,224
"Mrpl23.ps1","Mrpl23-ps1",19,16,13,12,19,38
"Wipf1","Wipf1",1285,1611,1544,2480,1897,2927
"Carns1","Carns1",49,68,44,42,66,100
"Klhl41","Klhl41",7,0,0,0,8,0
"Scn9a","Scn9a",0,2,0,0,0,6
"Scn2a","Scn2a",1,0,0,0,0,0
"Fign","Fign",0,1,0,0,1,0
"Zbtb2","Zbtb2",320,279,354,327,385,411
"Rc3h2","Rc3h2",776,966,868,1225,760,1676
"Fnbp1","Fnbp1",3948,4347,4465,4406,3453,4689
"Dolk","Dolk",1535,1892,1789,1870,1661,1989
"Dnlz","Dnlz",759,765,669,607,575,664
"Alg10b","Alg10b",136,172,167,201,176,292
"Commd6","Commd6",786,841,810,563,435,573
"Malrd1","Malrd1",0,0,0,0,0,0
"Aarsd1","Aarsd1",1,0,5,1,0,1
"Gm10863","Gm10863",152,159,176,119,120,151
"X6330403L08Rik","6330403L08Rik",12,29,20,37,23,32
"Zfp652","Zfp652",406,493,489,1149,699,906
"B130006D01Rik","B130006D01Rik",0,2,5,5,0,3
"Zc3h3","Zc3h3",697,966,888,824,661,767
"Ly6a","Ly6a",2,7,7,0,0,0
"Gm7935","Gm7935",27,23,17,10,18,7
"Gm11545","Gm11545",215,197,252,198,184,304
"Selenot","Selenot",228,216,236,252,247,299
"Selenos","Selenos",1158,1372,1189,1242,1037,1537
"Selenom","Selenom",491,614,535,393,368,472
"Selenoi","Selenoi",290,462,456,459,278,487
"Txnrd2","Txnrd2",1561,2106,2106,1807,1566,1863
"Msrb1","Msrb1",1545,1542,1491,1541,1412,1705
"Gpx4","Gpx4",7934,9481,7822,8853,8302,9348
"Gm23935","Gm23935",42056,60517,48757,44820,51194,40242
"Gm24270","Gm24270",1840,2835,2014,1907,2373,1726
"Sox4","Sox4",85,125,82,276,187,291
"Ywhaq","Ywhaq",5320,6424,6075,7176,5354,8062
"Cep295nl","Cep295nl",19,10,16,18,5,41
"Acsf2","Acsf2",346,406,359,383,362,342
"Selenoh","Selenoh",288,398,284,333,375,388
"Ass1","Ass1",993,1215,1022,1001,933,994
"Ighm","Ighm",1,11,1,10,4,16
"Rab11b","Rab11b",2927,3606,3389,3406,2872,3638
"Rpl23a.ps3","Rpl23a-ps3",21,34,23,33,23,12
"Actl10","Actl10",12,35,31,28,17,42
"Ankrd63","Ankrd63",21,36,25,5,7,9
"Psme2b","Psme2b",295,414,331,263,269,328
"Gm16503","Gm16503",0,0,0,0,0,0
"Chml","Chml",61,92,80,157,106,215
"Gm2000","Gm2000",293,335,270,358,240,329
"Tmem203","Tmem203",168,205,193,229,221,201
"Airn","Airn",36,58,32,38,25,51
"Hmga1b","Hmga1b",66,98,64,68,47,41
"F8a","F8a",171,200,126,183,182,193
"Sf3b5","Sf3b5",1724,2191,1641,1806,1676,2057
"AW011738","AW011738",4,15,10,16,7,17
"Gm4294","Gm4294",36,41,16,43,28,37
"Sarnp","Sarnp",968,1012,901,867,782,1238
"Ctdsp2","Ctdsp2",1841,2653,2148,1641,1390,1897
"Dohh","Dohh",534,756,601,506,424,573
"Raet1d","Raet1d",15,6,3,28,18,25
"Abracl","Abracl",166,194,182,213,178,330
"Plekhn1","Plekhn1",1516,2118,1807,2006,1633,1886
"Perm1","Perm1",23,12,31,8,25,14
"Cfap74","Cfap74",21,33,28,48,8,39
"Zfp984","Zfp984",220,253,257,160,160,254
"Ddi2","Ddi2",1192,1550,1442,1996,1662,2389
"Emc1","Emc1",5242,5549,5666,4642,3439,4486
"Aunip","Aunip",83,128,90,55,91,143
"Nkain1","Nkain1",117,77,64,108,27,34
"Zfp995","Zfp995",40,80,75,72,70,93
"Bnip3","Bnip3",3271,4701,3897,5866,3887,6069
"X1110065P20Rik","1110065P20Rik",56,72,52,43,54,48
"Ndufaf8","Ndufaf8",427,473,373,489,455,483
"Ube2d3","Ube2d3",8521,10548,10015,11103,8221,13023
"E430018J23Rik","E430018J23Rik",177,126,139,103,123,128
"AU022252","AU022252",564,648,542,819,557,705
"Gm4609","Gm4609",17,36,3,10,14,24
"Gm4070","Gm4070",60,57,57,44,22,65
"X1810010H24Rik","1810010H24Rik",38,55,38,43,44,66
"Smarcd2","Smarcd2",3179,4065,3491,3194,2990,3709
"Ccdc47","Ccdc47",1770,2187,2058,2515,1824,3191
"Gm7336","Gm7336",20,32,12,40,24,25
"Aoc2","Aoc2",27,11,10,20,24,21
"Psme3","Psme3",4798,5433,5059,4333,3768,5329
"Cntd1","Cntd1",27,37,30,64,39,54
"Chd2","Chd2",1071,1176,1163,1656,1280,1791
"Casc3","Casc3",904,1204,1129,1110,762,1227
"Tm2d3","Tm2d3",1017,1172,1041,889,910,997
"X5830417I10Rik","5830417I10Rik",651,717,775,706,606,819
"Cisd3","Cisd3",494,690,520,499,482,669
"D030028A08Rik","D030028A08Rik",122,166,127,107,107,114
"Tomm5","Tomm5",971,1354,998,947,897,1295
"Tmem8b","Tmem8b",41,62,38,154,41,107
"Haus5","Haus5",75,114,72,123,112,122
"Zfp566","Zfp566",5,26,26,26,2,50
"Evi2a","Evi2a",742,914,726,695,593,1024
"Rad54b","Rad54b",56,104,86,94,108,204
"X9530053A07Rik","9530053A07Rik",4,5,18,11,2,2
"Zfp59","Zfp59",126,168,243,190,172,247
"X1810022K09Rik","1810022K09Rik",198,401,372,257,292,422
"BC024978","BC024978",134,140,109,91,71,128
"Dph1","Dph1",688,893,761,696,618,767
"Zfp541","Zfp541",30,8,14,0,4,10
"Eif5a","Eif5a",22688,30045,25050,22126,19878,26377
"Leng1","Leng1",310,361,387,327,243,344
"Hist3h2a","Hist3h2a",66,65,79,60,52,76
"Igtp","Igtp",232,267,217,249,201,345
"Zfp931","Zfp931",21,21,14,9,2,26
"Gm14326","Gm14326",122,102,84,115,98,163
"Gm14322","Gm14322",5,10,6,10,18,10
"Gm14418","Gm14418",4,25,12,20,12,45
"Gm14410","Gm14410",63,80,58,116,66,137
"Gm14295","Gm14295",33,35,31,32,50,39
"Gm14305","Gm14305",73,98,74,116,86,128
"Gm4724","Gm4724",16,24,17,18,14,25
"Fam186b","Fam186b",26,19,45,1,4,0
"Mon1b","Mon1b",1020,1148,1182,1259,1008,1300
"Dpm1","Dpm1",31,31,29,39,37,52
"Ifi47","Ifi47",28,44,32,28,21,28
"Ube2v1","Ube2v1",9,8,9,12,8,28
"Ak6","Ak6",491,624,494,407,363,616
"Naip6","Naip6",394,644,497,912,656,845
"Naip2","Naip2",946,1280,1129,1834,1376,1792
"Lncenc1","Lncenc1",0,1,11,2,5,1
"Arhgap8","Arhgap8",780,789,823,714,592,706
"Gm14221","Gm14221",77,90,89,159,137,280
"X4932414J04Rik","4932414J04Rik",0,0,0,0,0,0
"Gm12033","Gm12033",4,19,8,14,8,12
"Wdr92","Wdr92",461,660,546,567,627,773
"Sec61g","Sec61g",899,1064,906,870,961,1006
"Zfp429","Zfp429",121,83,109,86,89,129
"Zfp456","Zfp456",23,29,33,45,15,57
"Samd1","Samd1",48,102,49,82,37,94
"Ifi27l2a","Ifi27l2a",800,1077,814,261,256,441
"Ly6c1","Ly6c1",0,0,0,5,2,2
"Slc45a4","Slc45a4",535,654,461,662,244,284
"Mef2b","Mef2b",384,335,384,99,106,62
"Alkbh1","Alkbh1",233,332,363,342,335,386
"Prnp","Prnp",1198,1367,1413,2849,2041,2827
"D130040H23Rik","D130040H23Rik",0,0,0,0,0,0
"Fastkd5","Fastkd5",289,367,422,567,339,656
"Serpinb1c","Serpinb1c",383,493,416,120,48,161
"Vinac1","Vinac1",0,5,0,0,0,0
"Kcnip3","Kcnip3",19,18,29,40,34,54
"Cyp4v3","Cyp4v3",2668,3277,3241,4208,3400,4461
"BC005561","BC005561",54,126,81,103,73,66
"Jrkl","Jrkl",20,21,7,34,37,43
"Ccdc82","Ccdc82",317,350,406,491,284,650
"Prps1l3","Prps1l3",731,885,832,1082,797,1514
"Srp54c","Srp54c",273,355,387,410,300,513
"Pms2","Pms2",373,435,431,573,495,598
